word,YOUTUBE_FREQ_V3_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ
あ,93,-1,2477,47,8887,2117,4087,49,75,108,2197,3741,231,1682,23037,9670,64,59,48,32,29,37,9106,2395,183,44,-1,121,187,4358,77,211,202,14404,1026,177
られる,94,196,100,89,-1,77,51,3423,77,78,49,85,60,86,108,21,86,79,101,59,-1,-1,-1,-1,2892,4104,-1,44,31,-1,80,99,54,-1,36,95
良い,95,33,1785,808,-1,93,41,813,615,600,44,33,606,41,32,-1,1118,1037,555,136,-1,-1,17,18992,355,154,122,2143,1344,16,642,122,286,11,937,54
一,99,65,57,99,5,42,157,266,200,18148,-1,-1,41,-1,-1,15,17870,16748,-1,95,114,130,115,1215,200,411,2391,19,18,26,129,187,47,35,51,100
ちゃう,101,56,21567,87,-1,551,543,2435,153,154,259,162,499,119,81,839,119,110,75,91,-1,18111,-1,-1,13231,3567,1439,8447,9538,-1,161,347,303,-1,4417,115
あの,103,31,4382,54,-1,16210,1034,39,84,87,83,94,83,83,97,39,83,76,90,84,103,118,-1,10248,25,65,48,2244,1999,88,86,94,107,50,3055,128
動画,114,1251,1885,4587,-1,8961,394,3186,2307,2173,-1,2238,-1,9606,4490,-1,9606,9006,4328,8410,4960,5361,1909,4532,-1,5517,-1,-1,5677,6282,2435,9368,5113,6542,2414,125
まあ,117,45,-1,165,-1,806,759,149,195,192,113,201,282,199,112,216,199,182,105,195,345,340,-1,17284,287,271,120,5036,5141,73,205,653,321,49,18103,123
など,120,952,28,306,15617,72,39,392,348,343,94,358,133,252,568,72,252,234,546,201,555,589,-1,50,69,425,111,14,13,-1,369,607,127,-1,29,131
円,123,167,346,447,530,219,103,-1,1315,1406,-1,7865,498,3938,15702,1350,1758,1632,653,1583,2948,2610,910,5385,-1,2211,10797,892,750,3252,1387,8953,634,1446,222,194
こんな,125,230,7635,114,-1,435,272,122,143,162,130,171,198,111,127,108,111,102,120,128,175,193,-1,-1,167,114,67,6823,6719,155,149,121,169,80,6996,154
日本,128,221,31,524,163,143,92,497,965,-1,-1,-1,245,1052,654,519,1052,976,627,2051,983,888,3974,115,259,1564,12824,109,75,-1,958,9850,194,-1,30,137
そんな,129,128,2551,76,-1,276,148,65,101,119,79,126,121,93,94,53,93,85,87,57,119,131,-1,-1,68,90,40,3130,3993,36,102,132,85,34,3555,97
まず,131,321,1741,709,-1,391,810,509,596,338,240,18844,490,7296,20303,256,391,362,438,907,461,496,-1,399,475,780,281,4361,3668,21234,627,671,431,16582,2898,185
ら,139,6881,66,108,-1,-1,555,-1,145,81,1285,9055,189,5143,6693,-1,56,51,111,212,24,28,-1,2760,-1,377,-1,84,125,-1,152,63,121,-1,212,276
ありがとう,141,186,13721,113,-1,1487,742,128,113,114,-1,121,1118,263,133,674,263,245,124,250,123,136,188,2979,1415,218,173,20158,15363,-1,117,101,573,-1,7875,285
結構,143,115,-1,598,976,1408,716,731,628,950,505,983,1479,986,476,1338,986,913,455,619,949,872,298,-1,1746,679,961,13030,11770,731,669,3079,1400,514,18002,252
へ,148,440,43,90,-1,94,80,100,70,73,38,80,43,99,184,-1,99,90,175,65,92,102,-1,1995,-1,102,64,50,43,-1,71,41,57,-1,39,133
いける,150,10047,21524,265,-1,-1,800,531,406,377,3284,15012,420,12757,13717,8655,323,298,280,285,-1,-1,-1,-1,551,7937,-1,1868,2120,11603,428,458,374,9949,4208,161
まぁ,151,-1,-1,526,-1,-1,3777,-1,7219,6936,-1,-1,4132,-1,-1,-1,535,492,1523,300,987,1123,-1,-1,-1,3090,-1,-1,-1,-1,7538,937,1230,-1,13970,327
ながら,152,284,258,464,-1,173,115,641,463,421,60,438,75,467,499,27,467,431,477,79,592,617,-1,-1,37,3930,63,407,300,5810,483,412,71,4334,378,170
ぐらい,155,-1,9520,417,-1,-1,2179,418,606,589,-1,-1,469,-1,-1,-1,685,635,593,499,976,895,-1,-1,495,825,-1,3914,2734,-1,647,4390,607,-1,10224,301
じゃあ,156,11455,-1,103,-1,2927,7932,87,158,165,9501,-1,567,-1,-1,812,158,145,91,169,249,263,-1,18785,560,188,-1,-1,-1,-1,167,251,452,-1,-1,190
しれる,163,183,-1,207,-1,418,147,1415,350,324,103,338,185,257,258,208,257,239,245,155,-1,-1,1469,-1,712,748,512,4209,5059,83,370,311,165,93,5429,259
やっぱり,167,-1,22853,194,-1,935,2395,230,366,361,-1,-1,655,-1,-1,-1,275,255,168,211,1261,1188,118,-1,659,236,139,-1,22828,-1,389,892,480,-1,17863,206
あれ,191,185,1416,109,-1,8138,2566,114,163,194,172,543,262,296,235,106,124,115,137,223,251,262,-1,18105,269,112,98,2328,2331,159,174,117,268,135,11366,186
あっ,193,28,40,37,-1,1886,1410,-1,68,76,-1,83,1448,43,40,6632,43,40,36,60,844,615,-1,20042,-1,56,91,8759,20362,-1,69,608,512,-1,11079,319
なぁ,194,-1,-1,213,-1,-1,1845,-1,1391,1392,-1,-1,2054,-1,-1,-1,254,236,413,197,1026,1164,-1,-1,-1,1519,229,-1,-1,-1,1457,714,801,-1,20287,501
カンタ,196,20704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
シルク,202,6881,11986,-1,-1,17262,9383,12705,14357,10598,-1,-1,5589,-1,-1,7767,-1,-1,-1,-1,8230,8407,-1,11937,5805,-1,3798,19663,-1,10974,14846,-1,12411,17489,19705,10688
トミー,209,-1,8471,17780,-1,-1,-1,9314,3190,-1,-1,-1,12273,-1,-1,-1,-1,-1,-1,-1,1626,1846,-1,1899,13026,-1,13660,-1,-1,-1,3336,-1,23140,-1,8297,88
じゃん,216,79,-1,308,-1,5506,4197,249,594,573,1439,596,4080,424,195,4080,424,393,186,533,1711,948,-1,-1,2079,593,277,19107,20368,-1,638,-1,1774,23200,13305,176
チャンネル,223,5383,1690,4263,-1,7983,2779,14651,6682,5842,-1,-1,13024,-1,-1,7576,13240,12410,13160,11215,4801,4922,13677,3383,13126,8965,2619,-1,20984,17405,6979,9613,12205,7779,1543,300
あー,225,282,-1,340,-1,6687,-1,1417,500,1277,-1,922,2774,366,432,-1,749,693,505,394,1028,1006,-1,-1,3837,1696,-1,-1,-1,-1,526,1824,1608,-1,22297,344
ちゃん,232,83,1863,70,-1,570,437,59,152,95,150,102,287,74,39,648,74,68,35,73,450,389,-1,12863,258,127,93,8359,8187,97,160,767,155,25,725,934
こっち,234,130,-1,179,1516,2285,5905,222,211,222,160,232,560,201,220,-1,201,184,209,264,233,251,-1,-1,579,207,-1,15968,13043,91,219,1028,595,114,21925,381
めっちゃ,235,-1,-1,3572,-1,-1,12596,2010,2276,2187,-1,-1,-1,-1,-1,-1,4372,4085,2105,5218,15199,3742,2222,-1,-1,2713,1009,-1,-1,-1,2688,-1,12575,-1,-1,508
ねぇ,243,-1,-1,208,-1,-1,5958,-1,2294,3893,-1,-1,1881,-1,-1,-1,532,489,1062,280,682,721,-1,-1,-1,1972,-1,-1,-1,-1,2413,501,1092,-1,19964,598
っ,249,-1,3629,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,15,-1,18275,-1,-1,-1,-1,-1,-1,-1,1210,135,-1,-1,-1
ぞ,253,623,6472,60,-1,858,1494,81,50,51,133,57,209,48,77,-1,48,45,72,101,71,82,-1,-1,155,61,66,123,170,-1,49,173,197,-1,3455,291
シ,256,-1,6210,1116,-1,-1,-1,-1,3749,14670,-1,-1,3149,8647,7588,-1,4699,4394,644,1196,7035,8228,-1,8145,-1,7090,-1,1294,1975,-1,3922,1098,7048,-1,3942,12510
お前,258,-1,7361,46,-1,-1,4023,47,55,56,-1,-1,303,-1,-1,1067,33,30,54,148,67,78,164,10061,289,101,442,5837,6258,-1,55,141,207,-1,7057,223
多分,259,107,23150,1833,853,1418,1652,799,1281,1252,392,1188,1996,1305,966,1118,1780,1652,928,979,672,630,1089,-1,765,1797,384,-1,24728,491,1397,1692,1797,349,-1,503
髙,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15385,18577,-1,-1,-1,-1,15246,-1,-1,-1,-1,-1,-1,-1,-1,-1
あぁ,269,-1,-1,167,-1,-1,-1,-1,2462,2298,-1,-1,6831,-1,-1,-1,226,209,625,204,387,441,-1,-1,-1,2225,-1,-1,-1,-1,2588,2748,998,-1,-1,665
大丈夫,274,124,19821,119,941,1221,782,90,103,104,346,111,718,136,113,406,136,125,106,162,109,120,48,16814,671,141,1448,-1,18506,182,105,267,410,108,17048,341
関する,276,714,375,-1,-1,432,179,6341,18176,1477,567,1521,-1,2638,3496,998,2638,2454,3373,-1,-1,-1,10161,-1,8350,2527,-1,3109,8573,631,18737,878,933,1192,-1,1489
頑張る,278,359,-1,205,-1,943,413,2103,296,296,914,309,3173,355,191,2824,355,327,182,408,-1,-1,107,-1,12254,412,627,16254,16026,451,312,557,1267,196,12348,561
いたす,279,610,-1,635,-1,703,161,438,1364,1161,368,1196,796,1074,1341,678,1074,997,1294,1430,-1,-1,808,-1,620,1174,374,4473,4098,648,1431,726,1063,881,21160,607
もっと,282,269,4559,224,-1,646,386,272,219,227,250,237,415,235,223,270,235,218,212,172,214,243,-1,10899,406,235,132,9795,9022,360,229,332,377,116,4582,369
じゃ,285,4252,3438,26,-1,2391,3343,23,34,211,192,220,65,123,450,3765,123,114,202,36,47,56,-1,24371,52,161,80,406,893,20529,35,236,222,8053,2190,52
アメリカ,287,995,87,1684,7819,587,572,1310,671,-1,-1,-1,752,-1,-1,1328,6365,5952,3693,8315,509,555,24151,142,957,4627,1200,376,567,-1,697,9790,930,-1,165,241
ちゃんと,289,210,19729,252,-1,1603,976,213,449,449,428,467,740,454,224,525,454,419,213,233,670,663,46,-1,721,390,150,-1,23824,503,473,710,650,180,10826,296
私たち,292,-1,-1,312,-1,-1,581,383,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,732,-1,-1,405,-1,383,398,934,-1,-1,-1,211,1600,-1,-1,-1,636
ぁ,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2255,4405,-1,-1,-1,-1,-1,-1,-1,-1,-1,6067,548,-1,13074,-1
ほんと,301,-1,-1,668,-1,-1,6589,-1,1730,1081,-1,-1,2567,-1,-1,-1,1808,1680,838,1033,1146,1159,-1,-1,-1,2508,482,-1,-1,-1,1812,-1,1344,-1,-1,1961
べし,302,1086,11347,422,-1,252,233,10295,208,207,149,216,239,342,539,133,342,316,517,286,-1,-1,-1,-1,4335,8158,2142,218,152,-1,215,371,223,-1,704,391
しかし,303,3704,111,217,-1,178,217,300,355,345,81,360,115,190,435,71,190,175,415,208,254,256,-1,4,56,347,106,9345,5711,-1,375,321,126,-1,164,342
お金,305,-1,-1,584,-1,-1,1032,430,572,-1,-1,-1,1463,-1,-1,-1,-1,-1,-1,1853,-1,-1,688,23312,1474,1512,14657,13296,5475,-1,602,1641,-1,-1,8252,370
えっ,306,55,-1,68,-1,3964,4405,41,131,143,-1,150,1678,75,69,1369,75,69,64,194,816,716,-1,-1,1766,123,149,10831,-1,-1,137,1580,945,-1,24237,538
やばい,307,234,-1,1282,-1,7285,5277,717,5448,3312,1295,934,10930,806,1245,5355,806,745,1751,1906,-1,-1,-1,-1,6125,2754,-1,22038,-1,1226,5679,-1,4520,785,-1,573
いろんな,309,273,23862,1263,-1,1792,1052,1116,1446,1402,996,1443,2413,1804,1128,1710,1804,1676,1087,2559,2683,2542,1315,-1,2386,1260,593,-1,-1,2013,1533,9375,2660,1070,23356,441
ポイント,310,1008,1189,1176,-1,1699,301,3493,981,911,-1,-1,6462,-1,-1,4337,1805,1677,1195,3973,2397,2450,2458,2204,6581,2403,713,8956,8702,1339,1032,234,2260,2807,1341,525
データ,314,789,689,1250,-1,1376,342,1583,1350,1256,-1,-1,4053,-1,-1,3477,3137,2927,3579,3658,1122,1206,-1,3897,4191,2320,712,3775,1568,4033,1420,44,1911,3437,649,698
ずっと,316,211,5827,278,-1,917,650,240,285,283,258,296,460,356,228,279,356,328,217,227,293,325,-1,21900,450,302,133,6491,5202,381,302,1516,367,149,5722,445
よろしく,321,964,-1,338,-1,1592,604,557,522,485,888,503,2530,585,400,1400,585,542,380,772,1181,1135,1069,-1,3038,599,333,12543,10798,797,546,355,1667,549,19435,560
頂く,324,214,-1,671,-1,467,62,147,2334,2211,274,639,2890,654,512,566,1958,1818,3253,2070,-1,-1,369,-1,439,498,214,21256,14572,238,2468,1875,2785,327,21872,897
いただける,327,-1,-1,1354,-1,-1,-1,-1,2945,2477,-1,-1,2783,-1,-1,-1,2348,2180,1989,2263,-1,-1,590,-1,-1,17573,-1,-1,-1,-1,3105,568,1899,-1,-1,678
カード,333,898,684,471,-1,2196,229,2545,1196,971,-1,-1,2464,-1,-1,2295,1150,1066,2371,3076,775,914,-1,3753,2730,2855,680,5093,4651,1595,1264,1524,1886,2308,669,373
とても,337,1111,4710,853,-1,664,538,981,476,460,268,478,477,937,735,288,937,870,707,457,283,318,-1,-1,484,756,187,5067,4367,333,498,752,436,251,4943,941
中国,339,639,244,4946,3471,757,638,4455,1541,-1,-1,-1,1793,7693,12226,2054,7693,7195,11758,15303,1272,1427,12090,199,2134,9151,-1,114,120,-1,1546,9832,1318,-1,306,361
どういう,343,-1,-1,263,-1,-1,3684,255,365,-1,-1,-1,539,-1,-1,-1,-1,-1,-1,445,-1,-1,800,-1,580,352,192,15996,12072,-1,391,1261,-1,-1,19219,389
下さる,352,199,-1,434,-1,237,53,1044,1823,1747,143,141,518,150,139,611,5204,4853,3251,661,-1,-1,103,-1,1130,182,348,2806,3863,139,1926,492,870,110,12401,105
どんな,355,581,5815,276,-1,548,302,317,272,298,184,311,324,336,354,174,336,310,337,367,213,244,-1,-1,294,308,153,4273,3016,440,285,667,330,283,5866,377
えー,356,155,-1,966,-1,6879,5929,-1,1339,2423,-1,627,6247,315,293,-1,2448,2274,1160,1124,2674,2098,-1,-1,-1,2161,-1,-1,-1,-1,1444,1550,3042,-1,-1,995
思い,358,1726,2216,623,-1,891,522,-1,1073,933,8225,966,549,811,926,-1,811,749,890,986,1462,1599,972,-1,-1,935,7793,1570,1357,596,1130,1758,553,353,3943,1481
なんて,363,295,10589,94,-1,471,317,83,106,115,148,122,202,109,104,192,109,100,97,90,151,168,-1,-1,156,106,60,11017,10444,-1,108,171,166,-1,8470,359
ンダホ,364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ゲーム,368,758,211,905,-1,2568,362,1268,575,501,-1,-1,2123,-1,-1,1969,800,739,341,1441,617,658,-1,258,2492,1612,362,4174,2909,684,606,260,867,1004,174,398
さっき,371,271,-1,302,4972,3499,4120,429,459,440,-1,457,523,256,271,341,256,238,258,235,891,912,18840,-1,553,336,174,18686,22614,434,481,1842,466,157,-1,360
つまり,375,1902,1993,510,-1,516,1908,-1,509,504,225,522,385,500,695,239,500,459,668,466,401,446,-1,133,-1,568,200,13325,6591,337,532,1142,412,354,2888,227
う,376,6059,2121,24,5791,6003,9411,134,25,397,-1,-1,30,6100,20549,15634,135,124,254,20,21,25,-1,5001,652,132,-1,27,45,-1,25,393,563,-1,133,39
うち,386,711,285,161,-1,-1,955,-1,225,431,4561,6225,171,5166,3277,98,349,321,289,337,414,451,-1,3522,-1,245,159,119,137,12839,234,1080,216,6812,417,486
かなり,388,770,1808,1067,6027,623,1013,1262,820,959,314,992,572,1395,1563,367,1395,1292,1509,649,591,662,-1,-1,783,1056,226,6488,5905,340,862,852,556,592,1499,434
等,389,274,143,5523,293,195,146,-1,6546,6147,67,88,1259,56,118,1526,5902,5514,7448,4113,514,547,2234,592,-1,376,891,1036,344,58,1544,1292,760,111,142,362
あまり,390,166,1240,1376,-1,604,861,-1,1237,1299,168,1339,412,1399,710,153,1399,1296,982,497,646,700,3381,-1,-1,896,207,1874,1594,230,1307,525,298,202,1580,353
側,393,846,282,1788,378,923,599,619,1491,1264,6150,984,507,1374,1000,-1,1775,1648,2278,976,953,1034,737,-1,302,1208,5880,530,545,519,1563,3166,602,706,320,330
東京,396,-1,92,654,320,990,1035,561,1832,-1,-1,-1,509,-1,-1,1016,3021,2817,1019,4491,2908,2721,11509,162,574,2945,-1,419,255,-1,1954,5439,693,-1,66,891
いつも,397,-1,-1,258,-1,-1,1082,356,249,-1,-1,-1,270,-1,-1,-1,-1,-1,-1,207,-1,-1,23714,21177,351,293,136,2160,1826,-1,261,512,-1,-1,3019,609
ン,398,-1,4914,708,-1,-1,-1,-1,714,6497,-1,-1,1061,-1,-1,-1,9228,8645,9070,758,2499,2935,-1,4521,-1,615,-1,11351,5734,-1,750,-1,5395,-1,3537,1466
今まで,400,-1,-1,560,-1,-1,457,626,655,-1,-1,-1,24978,-1,-1,-1,-1,-1,-1,496,-1,-1,18014,-1,743,596,1939,5258,4348,-1,690,2305,-1,-1,-1,600
あるいは,401,2319,645,3737,-1,412,3153,3888,4461,3988,318,4089,642,3768,5258,531,3768,3516,5068,1507,1617,1894,2912,176,593,3236,477,428,386,-1,4665,-1,721,-1,981,699
やっぱ,403,-1,-1,660,-1,6812,14406,777,1206,1193,-1,-1,8156,-1,-1,-1,546,503,556,1376,5971,3624,-1,-1,8185,857,457,-1,-1,-1,1302,7733,4385,-1,-1,942
こんにちは,404,1447,-1,793,-1,8008,2210,196,746,746,-1,776,8592,2756,1104,4774,2756,2565,1064,2702,576,598,1685,9738,897,1391,618,-1,-1,-1,778,284,6183,-1,12929,782
らしい,407,249,4119,301,-1,528,511,672,317,398,102,415,145,393,386,83,393,364,366,187,-1,-1,-1,19300,260,318,102,884,987,499,335,165,149,465,1097,640
ぇ,408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1346,1298,-1,-1,-1,-1,-1,-1,-1,-1,-1,997,1455,-1,18077,-1
ねー,412,-1,-1,2472,-1,-1,19742,-1,2356,4136,-1,-1,2505,-1,-1,-1,2174,2016,952,242,2855,2657,-1,-1,-1,4111,-1,-1,-1,-1,2489,4788,2013,-1,-1,893
ご覧,419,-1,-1,1557,-1,-1,1476,3911,2675,2463,-1,-1,6724,-1,-1,1108,2379,2210,3577,5349,2988,2990,1645,-1,19377,3802,1510,13096,20437,-1,2817,-1,4401,-1,-1,770
感ずる,424,644,-1,-1,-1,491,135,-1,-1,568,157,591,6269,711,940,-1,711,657,904,-1,-1,-1,-1,-1,8788,-1,-1,4710,6768,169,-1,1349,219,117,-1,-1
ダメ,426,-1,11382,232,-1,-1,-1,660,135,130,-1,-1,2411,-1,-1,-1,270,251,145,267,209,213,-1,-1,5586,364,195,-1,-1,-1,142,425,885,-1,9214,299
なるほど,431,162,-1,458,1869,3551,6670,568,548,529,399,550,777,452,530,482,452,417,508,430,1277,1318,764,13708,679,481,198,23389,-1,367,573,899,822,361,20439,1151
マジ,433,-1,23911,593,-1,-1,10602,-1,499,498,-1,-1,8789,-1,-1,-1,578,535,359,801,755,675,-1,-1,-1,841,351,17835,-1,-1,536,-1,2659,-1,13142,800
知事,438,3410,1423,14895,10844,4515,4769,9524,5327,3608,-1,3703,9629,-1,-1,9378,-1,-1,-1,-1,5679,5746,-1,14851,10066,-1,-1,9634,7664,-1,5558,-1,10772,-1,2438,15843
先ほど,440,-1,-1,4729,-1,-1,5273,1935,7949,3336,-1,-1,8754,-1,-1,2649,2001,1857,3467,3164,7803,7637,2402,-1,3672,2093,1909,-1,-1,-1,8266,2000,1330,-1,-1,2500
可能性,441,-1,-1,650,3260,795,202,653,818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,795,-1,-1,2477,-1,1257,1013,-1,5812,3527,-1,844,583,-1,-1,-1,620
多く,444,6881,117,1642,-1,515,181,-1,814,892,-1,924,901,2003,3967,387,2003,1859,3825,1901,508,532,2866,-1,-1,1700,-1,179,176,832,849,642,772,1739,299,492
やはり,446,81,4158,631,-1,511,1649,1039,1260,1212,176,377,456,275,177,168,458,423,908,572,3205,3317,-1,9201,443,727,206,12724,11240,140,1330,2553,443,96,4933,1222
そ,447,13446,7290,368,7815,4329,8337,-1,549,540,-1,17017,701,13655,17904,7475,328,303,256,157,361,395,12836,10233,8602,2040,-1,192,426,10725,569,1435,717,14873,5372,1412
とりあえず,450,343,23871,1115,-1,2076,3126,959,1562,1502,782,1547,1845,969,566,1234,969,901,544,628,3156,2813,977,-1,1773,940,258,-1,22618,399,1665,978,1101,454,22575,548
宮近,453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
こそ,459,497,2251,254,-1,658,523,510,374,251,201,263,356,243,326,211,243,225,310,240,398,422,-1,-1,479,332,177,657,564,18697,397,447,272,19311,2656,590
使える,460,-1,6273,879,-1,1687,1726,-1,877,793,-1,-1,2798,-1,-1,-1,604,560,1211,1525,-1,-1,1594,-1,-1,11216,-1,8295,5591,-1,928,817,1349,-1,3240,288
