word,hiragana,katakana,ANIME_JDRAMA_rank,CEJC_rank,ADNO,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
この,この,コノ,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
いい,いい,イイ,5,3,4,4,2,2,5,5,5,5,2,5,3,3,5,5,5,5,5,2,2,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,4,3,4,3,3,3,3,2,3,5,5,5,5,4,4,5,5
あっ,あっ,アッ,5,5,5,1,4,5,4,1,5,5,5,4,5,5,3,5,5,5,5,5,5,5,1,2,1,5,5,5,5,5,5,2,4,5,4,4,5,5,5,4,5,5,4,5,5,5,5,5,1,5,5,5,5,1,2,5,5
それ,それ,ソレ,5,3,5,5,2,2,5,2,5,5,3,5,3,3,5,5,5,5,5,5,5,5,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,2,2,4,2,2,2,2,5,5,5,5,5,5,5,5,5
お前,おまえ,オマエ,5,1,3,1,1,1,3,5,5,5,1,5,1,1,4,5,5,5,5,5,5,4,5,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,3,5,5
あ,あ,ア,5,1,4,3,4,3,3,5,5,5,4,5,4,2,3,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,2,3,3,3,3,3,5,3,3,3,5,5,5,5,2,4,5,5
けど,けど,ケド,5,1,3,1,4,1,5,5,5,5,1,5,1,1,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,3,5,5
あの,あの,アノ,5,5,3,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
でも,でも,デモ,5,1,1,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,4,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,5,1
ぞ,ぞ,ゾ,5,5,3,1,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,5,1,5,5,5,5,1,4,5,5
えっ,えっ,エッ,5,5,1,1,4,4,3,5,5,5,5,4,5,5,4,5,5,5,5,5,5,3,1,1,4,5,5,5,5,5,5,3,4,5,5,5,5,5,3,3,4,3,3,4,3,4,4,4,1,5,4,5,4,1,2,5,5
ちゃん,ちゃん,チャン,5,5,4,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
だけ,だけ,ダケ,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
まで,まで,マデ,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
そんな,そんな,ソンナ,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
せる,せる,セル,5,5,5,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,3,3,1,2,2,3,2,1,2,2,2,2,4,1,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,5,5
ちゃう,ちゃう,チャウ,5,5,2,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,2,4,1,1,2,4,1,4,4,4,4,2,3,4,4,2,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,3,5,5
られる,られる,ラレル,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,4,3,4,4,4,4,4,4,4,4,4,3,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
へ,へ,ヘ,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
だって,だって,ダッテ,5,1,1,1,4,1,1,5,5,2,1,5,1,1,1,2,2,2,5,1,2,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,2,5,1,2,5,2
なんだ,なんだ,ナンダ,5,3,1,1,1,1,2,5,5,2,2,4,2,2,3,2,2,2,5,1,1,2,3,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,2,1,5,1,2,3,1,1,5,1
なんて,なんて,ナンテ,5,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,5,5,1,3,5,5
ぬ,ぬ,ヌ,5,3,4,1,3,3,5,4,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,2,4,4,1,3,4,4,3,2,3,4,3,2,4,1,3,3,2,3,3,2,3,3,3,2,1,5,5,5,5,1,5,5,5
一,いち,イチ,5,5,5,5,5,5,5,5,5,2,1,5,1,1,5,2,2,1,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
くださる,くださる,クダサル,5,5,1,1,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,3,5,1,4,5,3,4,4,4,4,3,3,4,3,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5
じゃあ,じゃあ,ジャア,5,2,1,1,4,1,3,5,5,5,1,5,1,1,5,5,5,5,5,5,5,4,1,2,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,5,5
ら,ら,ラ,5,3,5,1,1,1,5,1,5,5,3,5,3,3,1,5,5,5,5,5,5,5,1,4,1,5,4,4,5,5,5,5,4,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,5,5,5
あれ,あれ,アレ,5,5,4,1,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4,5,5,5,5,5,5,2,5,5
ござる,ござる,ゴザル,5,5,1,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1,2,4,1,3,4,4,4,4,4,5,4,4,4,4,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5,2,5,5
という,という,トイウ,5,1,1,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,5,1
ありがとう,ありがとう,アリガトウ,5,5,2,1,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,4,4,4,4,3,5,5,5,1,5,5,5,5,1,3,5,5
こんな,こんな,コンナ,5,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
ねえ,ねえ,ネエ,5,3,2,1,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,5,5,5,5,5,5,5,3,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,3,1,5,4,5,5,1,1,4,5
うわ,うわ,ウワ,5,5,2,1,2,3,2,5,5,5,5,4,5,5,4,5,5,5,5,4,4,3,1,1,3,5,5,5,5,5,5,2,4,4,5,4,5,5,3,2,3,3,3,3,5,4,5,4,1,5,3,3,4,2,1,5,5
のに,のに,ノニ,5,1,1,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,4,5,1
みたい,みたい,ミタイ,5,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
だから,だから,ダカラ,5,1,1,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,2,2,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,2,5,1
なんか,なんか,ナンカ,5,5,2,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,1,5,2,5,1,1,5,5,4,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,2,5,5
かも,かも,カモ,5,4,2,4,3,3,2,5,5,2,3,5,2,2,3,2,2,2,5,2,2,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,3,2,4,2,2,2,2,3,3,5,1,2,5,3,4,5,2
お願い,おねがい,オネガイ,5,1,1,1,1,1,4,5,5,1,1,4,1,1,1,1,1,1,5,1,1,5,5,3,4,5,5,5,5,5,5,4,4,5,5,4,5,4,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,2,5,5
帰る,かえる,カエル,5,1,3,1,1,1,4,5,5,5,1,5,1,1,5,5,5,5,5,1,1,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,1,4,5,5
とか,とか,トカ,5,1,2,2,1,1,1,5,5,1,1,5,1,1,2,1,1,1,5,2,2,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,2,5,1,2,5,1,3,5,1
やめる,やめる,ヤメル,5,1,2,1,1,1,3,5,5,5,2,5,2,2,1,5,5,5,5,1,1,3,4,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,2,3,5,5
うち,うち,ウチ,5,5,5,1,1,1,5,1,5,5,3,5,3,4,5,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,2,2,1,2,2,2,2,2,5,4,5,5,3,5,5,5
あんた,あんた,アンタ,5,1,1,1,5,1,2,5,5,5,1,5,1,1,1,5,5,5,5,5,5,3,1,2,5,5,5,5,5,5,5,3,5,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,1,2,3,4
まあ,まあ,マア,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,5,5
あぁ,あぁ,アァ,5,1,1,1,1,1,1,1,4,4,1,3,1,1,1,5,5,5,5,5,5,3,1,1,1,4,5,4,4,5,4,2,4,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,1,1,5,5
・,・,・,5,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,5,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,5,1,1,1,5,1
そして,そして,ソシテ,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,5,1,5,5,5
はっ,はっ,ハッ,5,4,2,1,3,2,2,1,5,5,5,4,5,5,4,5,5,5,5,3,3,3,1,1,1,5,4,5,5,5,5,2,4,5,4,4,1,5,2,2,3,2,4,2,2,2,2,3,1,5,4,4,3,1,2,4,4
こっち,こっち,コッチ,5,5,1,4,4,5,3,5,5,5,5,5,5,5,1,5,5,5,5,5,5,4,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5
なさる,なさる,ナサル,5,5,1,1,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,1,1,3,2,1,4,4,3,5,5,5,5,4,4,5,4,3,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,2,5,3,4,5
あいつ,あいつ,アイツ,5,5,2,4,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,5,5,5,5,5,5,5,4,5,5,5,4,5,5,3,3,3,3,3,3,4,3,3,3,5,5,5,5,4,5,2,4,4
として,として,トシテ,5,1,1,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,5,1
さあ,さあ,サア,5,4,1,1,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,3,4,4,3,4,4,5,4,4,1,5,5,5,4,2,1,5,5
やっぱり,やっぱり,ヤッパリ,5,1,2,1,5,1,4,5,5,5,1,5,1,1,1,5,5,5,5,4,4,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,2,5,5
どうして,どうして,ドウシテ,5,1,1,1,5,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,2,4,1
何で,なんで,ナンデ,5,1,1,1,2,1,1,5,5,1,1,4,1,1,1,1,1,1,4,1,1,3,5,1,5,5,5,5,5,5,5,4,4,5,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,4,1
ええ,ええ,エエ,5,5,1,1,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,4,4,5,5,5,5,4,1,5,5,5,5,1,2,4,5
頑張る,がんばる,ガンバル,5,5,1,1,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,1,1,3,5,1,2,5,5,5,5,5,5,4,4,4,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,5,4,3,5,2,5,5
しれる,しれる,シレル,5,5,1,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,1,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,5
ねぇ,ねぇ,ネェ,5,1,1,1,1,1,3,1,4,4,1,4,1,1,1,5,5,4,5,5,5,4,1,1,1,4,5,4,4,5,4,3,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,5,1,2,5,5
そういう,そういう,ソウイウ,5,1,1,1,1,1,1,3,5,1,1,5,1,1,1,1,1,1,5,1,1,5,5,1,4,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,2,5,1
なぁ,なぁ,ナァ,5,1,1,1,1,1,4,1,4,4,1,4,1,1,1,5,5,5,5,4,4,5,1,1,1,4,5,4,5,5,4,4,4,5,5,4,1,5,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,1,2,5,5
しかし,しかし,シカシ,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,1,5,5,5,5,1,5,5,5
はぁ,はぁ,ハァ,5,1,1,1,1,1,1,1,4,4,1,3,1,1,1,5,5,5,5,4,3,3,1,1,1,5,5,5,5,5,5,1,4,5,5,4,1,5,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,1,1,4,4
たり,たり,タリ,5,5,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
ごめん,ごめん,ゴメン,5,5,1,4,4,4,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,2,1,4,5,5,5,5,5,5,3,5,5,5,5,5,5,4,4,4,5,4,5,5,5,4,5,5,5,4,5,5,5,2,4,4
もっと,もっと,モット,5,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
なんです,なんです,ナンデス,5,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,4,5,5,5,5,3,4,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1
俺たち,おれたち,オレタチ,5,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,5,5,5,5,4,5,2,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,1
ダメ,ダメ,ダメ,5,1,2,1,1,1,1,5,5,5,1,4,1,1,1,5,5,5,5,5,5,4,1,1,3,5,5,5,5,5,5,4,4,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,3,5,5
くん,くん,クン,5,1,3,4,3,2,3,4,5,5,2,5,3,2,4,5,5,5,5,4,4,4,4,3,3,4,5,4,5,5,4,3,4,4,5,4,5,5,2,1,2,2,2,3,2,2,2,2,2,5,1,5,5,4,4,5,5
一緒に,いっしょに,イッショニ,5,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,5,5,5,5,5,5,5,4,5,5,5,5,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1
バカ,バカ,バカ,5,1,3,1,1,1,1,1,5,5,1,4,1,1,1,5,5,5,5,5,5,4,1,2,1,5,4,5,5,5,5,4,4,5,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,5,4,4,5,1,3,4,4
おっ,おっ,オッ,5,5,2,1,3,3,3,1,5,5,5,3,5,5,1,5,5,5,5,4,4,4,1,1,1,5,4,5,5,5,5,1,3,4,4,2,5,1,2,2,3,2,2,2,2,2,2,3,1,5,3,4,4,1,1,4,5
うい,うい,ウイ,5,4,1,1,1,1,1,1,5,2,2,4,3,3,3,3,3,3,5,1,1,2,3,1,1,2,1,3,2,3,3,1,1,2,2,2,5,4,1,1,1,1,1,1,1,1,1,2,2,5,1,1,3,3,3,4,3
本当に,ほんとうに,ホントウニ,5,1,1,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,3,5,1
すいません,すいません,スイマセン,5,1,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,4,1,1,3,4,1,1,4,3,5,5,4,5,3,3,3,3,3,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,4,1
まさか,まさか,マサカ,5,4,2,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,2,4,3,3,4,3,4,3,4,5,5,4,5,4,5,1,4,4
お父さん,おとうさん,オトウサン,5,1,1,1,1,1,1,5,5,1,1,4,1,1,1,1,1,1,4,1,1,4,5,2,4,4,4,5,5,5,5,4,4,4,4,3,5,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,2,4,1
こそ,こそ,コソ,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,2,5,5,5,5,2,4,5,5
いつも,いつも,イツモ,5,1,1,1,1,1,4,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,4,5,5
こいつ,こいつ,コイツ,5,5,1,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4,3,3,3,4,3,4,4,5,5,5,5,5,5,1,5,5
おお,おお,オオ,5,5,2,1,4,4,3,1,5,4,5,4,5,5,5,5,5,5,5,5,4,3,1,2,1,4,5,5,5,5,5,1,4,5,5,4,5,5,2,3,3,2,2,2,2,2,2,4,1,5,4,4,5,1,4,4,5
どういう,どういう,ドウイウ,5,1,1,1,1,1,4,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,4,1,4,1,2,5,5
いける,いける,イケル,5,2,2,1,2,2,5,5,5,5,2,5,2,2,3,5,5,5,5,1,1,4,1,1,5,3,5,5,5,5,5,5,5,5,5,5,5,1,3,2,3,3,3,2,3,3,3,1,2,5,5,5,4,3,3,5,5
オレ,オレ,オレ,5,2,2,1,1,1,3,1,5,5,1,4,1,1,1,5,5,4,5,5,5,4,1,2,1,3,1,2,4,5,3,3,3,5,4,3,5,5,1,1,1,1,1,1,1,1,1,2,1,5,5,5,4,1,3,3,4
