word,hiragana,katakana,YOUTUBE_FREQ_V3_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ
ら,ら,ラ,5,3,5,5,1,1,5,1,5,5,4,3,5,3,3,1,5,5,5,5,5,5,1,4,1,5,1,5,5,1,5,5,5,1,5,5
たち,たち,タチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5
ありがとう,ありがとう,アリガトウ,5,5,2,5,1,4,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,2,2,1,5,5,5,1,3,5
より,より,ヨリ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5
結構,けっこう,ケッコウ,5,5,1,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,4,5,5,2,2,5,5,4,4,5,2,5
分かる,わかる,ワカル,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,3,4,5,5,5,5,5,4,5
うん,うん,ウン,5,5,2,5,5,4,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,4,4,5,5,5,4,2,5
え,え,エ,5,5,4,5,5,3,3,4,5,5,3,5,5,3,2,5,5,5,5,5,5,5,4,3,4,5,5,5,5,4,5,5,5,2,4,5
いや,いや,イヤ,5,5,2,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,4,5,5,5,5,5,2,5
へ,へ,ヘ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,4,1,5,5,5,5,1,5,5,5,1,5,5
入れる,いれる,イレル,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,1,5,5,5,5,5,5,5,4,5
いける,いける,イケル,5,2,2,5,1,1,5,5,5,5,4,2,5,2,2,3,5,5,5,5,1,1,1,1,5,3,1,4,4,2,5,5,5,3,3,5
まぁ,まぁ,マァ,5,1,1,5,1,1,4,1,3,3,1,1,3,1,1,1,5,5,4,5,5,4,1,1,1,4,1,1,1,1,3,5,4,1,2,5
ながら,ながら,ナガラ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,4,5,5,5,3,5,5,5,3,5,5
後,しり,シリ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
食べる,たべる,タベル,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,4,5,5,5,5,5,5,5,4,5
ぐらい,ぐらい,グライ,5,1,3,5,1,1,4,5,5,5,1,1,5,1,1,1,5,5,5,5,5,5,1,1,5,5,1,4,4,1,5,3,5,1,2,5
じゃあ,じゃあ,ジャア,5,2,1,5,1,4,3,5,5,5,3,1,5,1,1,5,5,5,5,5,5,5,1,2,5,5,1,1,1,1,5,5,5,1,1,5
場合,ばあい,バアイ,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,5,5,5,4,5,5,5,5,2,5,5,2,5,5,5,5,5,5,5,5,5
違う,たがう,タガウ,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,4,4,5,5,5,5,5,4,5
