word,hiragana,katakana,CC100_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_ANIME_V2,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
定評,ていひょう,テイヒョウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1
不定期,ふていき,フテイキ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1
議長,ぎちょう,ギチョウ,3,4,3,2,5,4,3,3,3,2,3,2,5,4,3,4,3,2,3,3,2,3,3,3,2,3,1,2,3,3,1,1,4,4,4,2,3,2,2,2,1,2,2,2,2,2,1,2,1,1,3,1,2,2,3,2,2,2,2,2,2,2,2,3,1,2,3,1,4,4,3
共用,きょうよう,キョウヨウ,3,2,2,2,4,4,3,4,3,2,2,3,2,3,2,3,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,1,2,2,3,2,2
果実,かじつ,カジツ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,2,3,2,2,2,3,3,2,2,2,1,2,3,2,2,3,3,3,3,3,2,1,3,2,3,3,3,4,3,3,3,3,4,2,3,3,3,3,3,3,2
夏祭り,なつまつり,ナツマツリ,3,2,3,2,3,4,4,3,3,3,2,2,2,2,3,2,2,1,2,2,2,1,2,2,1,2,3,1,2,2,3,3,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,1,3,1,2,1,3,2,2,2,2,2,2,3,2,1,1,1,1,3,1,2,2
ゾンビ,ゾンビ,ゾンビ,3,2,2,3,3,4,3,3,3,2,3,3,2,2,2,2,3,1,1,1,3,4,4,1,1,1,1,2,4,4,4,3,4,4,2,1,2,2,3,3,1,3,3,3,2,2,3,3,2,4,4,4,1,1,2,1,1,1,1,1,1,3,4,4,1,3,3,3,3,3,3
振り替え,ふりかえ,フリカエ,3,3,3,3,3,4,3,3,4,3,3,2,3,2,3,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
グローバル化,グローバルか,グローバルカ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
ポット,ポット,ポット,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,2,1,2,3,1,2,2,1,2,1,1,3,2,2,2,2,3,3,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,4,3,2,3,2,2,2,2,2,2,3,2,2,1,2,2,3,2,3,3
ディープ,ディープ,ディープ,3,2,2,3,3,4,3,3,4,3,2,2,3,2,3,3,2,1,1,2,1,2,3,1,1,1,1,2,2,2,2,2,2,2,2,1,4,1,2,2,1,2,2,2,1,1,1,2,2,1,2,3,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,3,1,2,3
長らく,ながらく,ナガラク,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,3,1,2
紅白,こうはく,コウハク,3,3,3,2,3,4,5,3,3,2,3,2,2,3,3,3,2,3,2,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,3,2,1,2,2,1,1,1,1,1,1,1,2,2,3,2,2,2,2,4,2,3,2,1,1,2,3,2,3,2,2
役場,やくば,ヤクバ,3,2,2,2,3,4,3,3,3,2,2,3,2,3,2,3,2,3,2,3,2,1,2,2,2,2,2,3,2,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,2,1,1,2,2,2,3,1,2
取扱,とりあつかい,トリアツカイ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,4,2,2
奨励,しょうれい,ショウレイ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,2,2,2,1,2,2,1,1,2,1,2,2,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,3,2,1,1,2,2,2,3,2,2
誹謗,ひぼう,ヒボウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,4,2,2,2,2,3,2,1,1,1,2,2,1,2,3
休息,きゅうそく,キュウソク,3,2,1,2,4,4,3,3,3,2,2,2,3,2,2,2,2,4,2,2,2,2,2,2,3,2,2,3,2,3,2,3,3,3,2,3,1,3,2,3,1,2,3,2,2,3,3,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,2,2,2
最小,さいしょう,サイショウ,3,2,1,3,4,4,3,3,3,2,3,2,4,3,2,3,1,2,2,3,1,2,3,3,2,3,2,3,3,3,2,2,3,3,3,1,1,1,1,2,1,1,2,2,1,3,2,2,2,2,1,1,4,5,3,4,4,3,4,4,4,3,3,2,1,3,3,3,3,2,3
球場,きゅうじょう,キュウジョウ,3,2,3,2,3,4,3,3,3,3,3,2,2,3,2,4,2,1,2,3,1,2,2,2,2,1,2,2,1,1,2,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,3,3,3,3,3,3,3,1,2,1,1,2,1,4,2,2
フィンランド,フィンランド,フィンランド,3,4,4,4,3,4,3,3,3,4,4,3,2,3,4,4,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,3,1,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,3,3,3,3,2,3,3,3,2,1,2,3,1,3,1,3,3,2
一段,いちだん,イチダン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,3,2,1,2,2,2,2,2,4,2,2,2,2,1,1,2,3,1,3,3,3,4,3,3,3,3,3,4,3,3,3,2,2,2,1,3,2,2,2,2,2,2,2,3,1,3,3,2,3,2,3,3
ラボ,ラボ,ラボ,3,4,3,4,5,4,3,3,3,2,3,4,5,4,3,2,3,1,1,2,3,3,4,1,1,1,1,1,2,2,2,2,4,4,3,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,3,3,2,3,2,2,2,2,2,2,2,3,2,3,1,2,4,1,2,2,2
コモンズ,コモンズ,コモンズ,3,2,2,2,3,4,3,3,3,3,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
熟練,じゅくれん,ジュクレン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,3,2,3,1,1,3,3,1,3,3,2,3,3,3,2,3,2,1,2,2,2,2,2,2
火山,かざん,カザン,3,3,3,2,3,4,3,3,3,4,2,2,2,3,3,4,3,3,3,3,2,3,3,3,2,3,2,3,3,3,2,1,3,2,3,2,1,2,2,2,1,2,2,2,1,2,2,3,1,2,2,1,4,2,4,3,3,4,3,3,3,3,3,3,1,3,3,2,3,4,3
多用,たよう,タヨウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,3,2,1,1,2,2,3,3,3,2,3,3,4,3,3,3,2,2,1,1,2,2,2,3,2,2
奮闘,ふんとう,フントウ,3,2,2,2,3,4,3,3,3,2,2,3,2,2,2,2,2,3,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,2,1,2,2,2,1,2,2,2,2,3,2,2,2,2,1,1,2,1,3,2,2,2,2,2,2,3,3,2,4,2,2,2,2,1,2
痩身,そうしん,ソウシン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1
可視化,かしか,カシカ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3
催す,もよおす,モヨオス,3,2,1,3,3,4,3,3,3,2,2,2,3,2,2,1,2,1,3,3,2,2,2,2,3,2,2,3,2,2,2,3,1,1,1,3,1,3,2,2,1,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,2,3,2,1,3,1,3,2,2,2
サンシャイン,サンシャイン,サンシャイン,3,3,3,2,3,4,3,3,3,4,2,2,2,3,3,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,1,2,2,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2
カンパニー,カンパニー,カンパニー,3,2,2,2,3,4,3,3,3,2,2,2,2,2,2,3,2,1,2,3,2,2,2,1,1,1,1,1,2,2,2,1,3,3,2,1,5,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,4,2,3,1,2,1,1,3,1,3,1,2
浮上,ふじょう,フジョウ,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,3,3,2,1,3,2,2,3,3,2,2,2,3,2,3,2,2,3,3,3,3,1,2,2,3,1,2,2,2,2,3,3,2,2,3,2,1,2,2,2,2,2,2,2,2,2,3,3,2,1,3,3,2,3,2,2
打ち明ける,うちあける,ウチアケル,3,4,3,4,4,4,5,5,3,3,3,2,4,4,4,1,3,1,3,3,3,3,3,3,4,3,3,4,2,2,2,3,1,1,1,3,1,4,2,3,4,4,3,3,3,3,4,3,3,4,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,1,4,2,1,2
染まる,そまる,ソマル,3,3,3,2,3,4,5,3,3,2,2,2,2,2,3,1,3,1,3,3,2,3,3,3,4,3,3,4,3,3,3,4,1,1,1,4,1,4,3,3,5,3,4,3,3,3,4,4,4,4,3,2,2,2,3,2,2,2,2,2,2,2,4,3,1,4,2,4,2,2,3
月日,つきひ,ツキヒ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,2,2,2,2,3,2,3,3,2,2,3,2,2,2,2,2,1,3,2,2,1,2,3,3,2,3,2,3,2,2,2,1,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,3,3,1,1
新婚,しんこん,シンコン,3,3,3,2,3,4,3,3,3,3,2,3,4,3,2,2,2,3,1,3,2,2,3,3,3,2,2,3,2,2,2,2,3,3,2,3,1,2,2,2,1,3,2,2,3,2,2,2,2,2,2,1,3,3,3,3,4,2,3,3,3,3,3,2,1,3,2,3,2,1,2
サウナ,サウナ,サウナ,3,2,2,3,3,4,3,3,3,3,2,2,2,2,3,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,3,3,2,4,3,3,2,3,3,3,3,2,2,1,2,2,2,1,2,2
外貨,がいか,ガイカ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,1,2,1,2,1,2
やりがい,やりがい,ヤリガイ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,2,2,1,2,1,2,2,2,1,2,2,2,2,3,1,1,2,2,1,3,2,2,2,3,2,3,2,1,2,4,3,3,3,3,3,2,4,3,4,2,2,2,3,2,2,2,1,3,3
際立つ,きわだつ,キワダツ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,1,2,2,2,3,2,2,2,1,4,3,2,3,3,2,2,3,4,2,3,3,2,4,3,3,2,3,2,3,3,1,3,2,2,2
決め付ける,きめつける,キメツケル,3,2,3,2,3,4,3,3,3,3,3,2,3,3,2,1,1,1,3,3,2,1,1,3,2,3,3,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,3,2,2,2,2,3,1,1,1,1,3,1,1,1
情報量,じょうほうりょう,ジョウホウリョウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2
ＤＪ,ディージェー,ディージェー,3,2,2,3,3,4,3,3,3,3,2,2,3,3,2,1,1,1,2,2,1,1,4,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,3,3,2,4,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1
頂上,ちょうじょう,チョウジョウ,3,3,3,2,3,4,3,3,3,3,2,3,2,3,2,3,3,4,3,3,2,3,3,3,3,3,2,4,3,3,2,2,3,3,2,2,1,3,3,3,1,2,2,2,2,3,3,3,2,3,2,1,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,2
友だち,ともだち,トモダチ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,3,1,4,1,1,1,2,2,2,3,3,3,3,2,1,4,2,2,1,2,2,3,2,4,2,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,1,2,3,2
艦隊,かんたい,カンタイ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,2,3,3,4,4,4,4,3,3,3,3,3,3,2,4,4,2,2,1,4,3,3,1,2,2,2,2,2,2,2,1,1,5,1,2,2,2,2,2,2,2,2,2,3,3,4,1,4,4,1,4,3,3
生年月日,せいねんがっぴ,セイネンガッピ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,2,2
タイマー,タイマー,タイマー,3,3,2,3,4,4,3,4,3,2,3,2,3,3,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,3,3,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3
旨み,うまみ,ウマミ,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,1,2,1,3,3,1,2,2,2,1,3,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,3,3,2,1,1,1,2,1,1,3
恐竜,きょうりゅう,キョウリュウ,3,3,3,3,3,4,3,3,3,2,3,4,4,3,3,3,3,1,3,3,2,4,4,4,2,2,2,2,2,2,2,2,3,3,2,1,2,2,2,3,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,3,2,4,4,2,3,2,3,4,3
剃る,そる,ソル,3,2,3,2,3,4,3,3,3,3,3,2,2,3,2,1,2,1,2,2,2,3,3,3,3,2,1,2,2,2,3,2,1,1,1,4,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,2,2,3,1,2,2,2,2,3,3
劇団,げきだん,ゲキダン,3,3,3,3,4,4,3,4,4,4,2,2,2,3,2,4,2,3,2,3,3,2,2,2,3,1,1,2,1,2,1,1,2,1,3,1,4,2,2,2,1,3,2,2,3,2,1,2,1,1,1,1,4,4,4,4,4,3,4,4,4,3,2,2,1,2,3,2,4,2,2
彼方,かなた,カナタ,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,2,4,3,3,2,2,2,4,4,5,4,4,4,4,4,4,3,3,2,2,1,4,3,3,1,2,3,2,2,3,3,3,3,4,3,3,4,3,4,4,3,4,4,4,3,3,4,2,3,3,3,4,3,3,2
夢見る,ゆめみる,ユメミル,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,2,3,1,3,3,4,3,4,4,4,4,3,3,4,4,3,3,2,2,1,3,2,2,2,2,2,2,3,3,3,4,2,2,3,2,2,2
大金,たいきん,タイキン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3,3,4,4,4,4,3,3,2,3,3,3,2,2,4,4,2,3,1,3,3,3,1,4,3,3,4,3,3,3,2,3,3,1,2,2,3,2,2,2,2,2,2,2,3,4,4,3,2,2,2,2,2
ドラえもん,ドラえもん,ドラエモン,3,2,3,2,3,4,3,3,4,3,2,3,2,3,2,3,4,1,3,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,3,2,3,3,3,3,5,3,3,3,1,4,1,1,3,1,4,3,3
全長,ぜんちょう,ゼンチョウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,3,3,1,2,2,2,2,1,1,2,1,1,2,1,1,1,2,1,3,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,2,3,2,4,3,2
ＬＤＫ,エルディーケー,エルディーケー,3,2,2,3,3,4,3,3,3,2,3,2,3,2,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1
因果,いんが,インガ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,1,3,2,2,2,2,3,3,2,3,3,3,2,3,2,2,3,2,1,2,2,3,4,2,2,2,3,2,2,3,2,2,3,1,4,4,2,4,3,3,3,4,3,2,3,2,1,3,2,3,2,2,3
日日,ひび,ヒビ,3,4,3,4,4,4,4,3,3,3,4,3,4,4,4,2,2,4,2,2,2,2,2,2,2,1,3,4,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,3,2,2,2,3,2,2,3,1,3,2,3,3,4,3,3,3,4,3,2,2,1,2,2,2,2,1,2
水道水,すいどうすい,スイドウスイ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
纏わる,まつわる,マツワル,3,2,1,2,3,4,3,3,3,2,2,2,3,2,2,3,1,1,3,3,2,1,2,2,1,2,2,3,2,2,2,2,1,1,1,3,1,2,2,2,3,2,2,2,2,3,3,3,2,2,1,4,3,2,3,3,3,2,3,3,3,2,2,1,1,2,1,3,1,1,3
虎,とら,トラ,3,3,3,4,4,4,4,3,4,3,3,3,4,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,2,4,3,3,1,3,3,3,3,2,3,2,2,3,4,3,3,2,3,3,3,2,3,5,3,4,4,4,1,4,3,3,4,3,2
害する,がいする,ガイスル,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2,1,2,1,3,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,3,3,2,2,3,2,1,2,2,3,2,2,2,2,2,2,3,3,1,1,2,1,3,1,1,2
蹴る,ける,ケル,3,3,4,3,3,4,4,4,5,3,3,2,3,4,3,1,4,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,4,1,4,4,4,1,4,4,3,4,2,4,3,4,5,4,4,3,3,3,3,3,4,3,3,3,3,4,4,4,4,2,4,3,3,3
無制限,むせいげん,ムセイゲン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2
騒ぎ,さわぎ,サワギ,3,2,2,3,3,4,3,3,3,2,3,2,2,3,2,2,4,1,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,2,3,2,3,5,3,3,3,3,3,2,4,4,1,4,3,4,2,3,3
ハイキング,ハイキング,ハイキング,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,3,3,3,4,3,3,3,3,3,3,2,1,2,1,1,2,2,2,2,2
著作物,ちょさくぶつ,チョサクブツ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3
重み,おもみ,オモミ,3,2,2,3,3,4,3,3,3,3,3,2,3,2,3,2,2,1,3,3,2,2,2,2,3,2,2,3,2,3,2,3,2,2,3,4,1,3,2,3,3,3,3,3,2,3,4,3,4,4,3,1,5,5,3,4,4,3,4,4,4,2,3,2,3,3,2,4,1,2,3
旺盛,おうせい,オウセイ,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,2,1,3,2,3,1,2,2,2,2,2,1,3,2,2,1,2,2,2,2,3,1,2,1,2,1,2,2,2,2,3,2,3,2,2,2,1,3,2,3,3,2,3,2,2,2,2,3,2,4,2,2,3,2,1,2
数年間,すうねんかん,スウネンカン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2
根付く,ねづく,ネヅク,3,2,2,3,3,4,3,3,3,3,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,2,2,2,2,3,1,1,3,2,3,3,3,3,3,3,3,2,2,1,1,1,1,2,1,2,2
おかげさま,おかげさま,オカゲサマ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
他人事,ひとごと,ヒトゴト,3,3,2,3,4,4,3,3,3,2,2,3,4,2,3,1,2,2,3,2,2,2,2,2,1,3,2,3,3,3,2,3,2,2,2,2,1,2,2,2,1,2,3,3,2,2,4,3,3,4,2,2,1,1,1,1,1,1,1,1,1,2,3,2,1,3,1,4,1,2,2
造る,つくる,ツクル,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,5,4,4,1,4,1,1,1,4,4,3,3,1,1,2,2,1,5,4,4,1,3,3,3,4,4,3,4,3,3,3,5,1,1,1,1,1,1,1,1,1,1,1,4,3,4,2,1,3,3,3
包括,ほうかつ,ホウカツ,3,2,2,2,3,4,3,3,3,3,2,2,2,2,2,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,2,3,3,2,3,3,3,2,1,2,1,1,2,1,3,3,2
税額,ぜいがく,ゼイガク,3,2,1,3,3,4,3,3,3,2,3,2,2,2,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1
不必要,ふひつよう,フヒツヨウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,3,2,2,2,1,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,2
噴火,ふんか,フンカ,3,3,3,3,3,4,3,3,3,4,3,2,2,3,2,3,2,2,2,3,1,2,3,3,2,3,2,2,3,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,4,3,3,4,3,3,3,2,2,2,1,2,3,2,3,4,3
