word,hiragana,katakana,RSPEER_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_ANIME_V2,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
相変わらず,あいかわらず,アイカワラズ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,3,4,4,1,1,4,1,1,1,1,1,1,4,1,1,4,4,1,4,4,5,5,5,5,4,5,4,4,4,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,2,3,3
眠れ,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
空い,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
突破,とっぱ,トッパ,4,2,2,3,3,4,3,3,3,2,3,2,3,2,3,4,4,3,1,3,4,3,3,4,4,3,4,4,3,4,4,4,3,3,3,3,3,1,3,4,4,1,3,4,4,3,3,4,4,3,4,4,1,3,2,3,3,3,2,3,3,3,4,4,3,4,3,4,3,4,4
繋がり,つながり,ツナガリ,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,3,2,1,4,3,4,3,2,2,3,2,4,3,4,2,2,3,3,4,3,3,3,1,3,3,2,1,2,3,3,2,2,2,3,4,4,2,4,4,4,4,4,3,3,4,4,4,3,4,2,1,2,4,2,3,3
若干,じゃっかん,ジャッカン,4,4,4,5,5,4,4,5,5,4,4,4,4,4,4,3,2,4,4,4,4,2,2,2,2,3,2,3,3,2,2,3,4,3,3,4,4,1,3,3,3,1,3,3,3,3,3,4,3,4,4,3,2,4,5,4,4,4,4,4,4,4,4,4,2,1,3,4,4,4,4
要ら,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
訴え,うったえ,ウッタエ,4,2,2,2,3,4,3,3,3,2,2,2,3,2,2,4,2,1,3,3,2,1,2,3,3,2,1,2,1,1,1,2,2,4,4,4,2,1,1,1,1,1,3,2,1,2,3,2,2,2,3,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2
認知,にんち,ニンチ,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,2,1,2,4,4,2,2,3,3,2,1,2,2,1,2,2,2,3,3,3,2,1,2,2,2,1,3,2,2,2,4,2,2,2,2,2,1,4,5,3,4,4,4,4,4,4,3,3,2,4,3,2,3,3,3
貸し,かし,カシ,4,2,1,3,3,4,3,3,3,2,3,2,2,2,2,2,3,1,1,2,2,1,3,2,2,3,2,2,1,2,2,2,3,4,3,3,2,1,1,3,3,3,3,2,3,3,2,2,2,2,2,3,4,2,1,2,2,2,2,2,2,2,2,3,3,1,2,3,2,2,2
送ら,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
通知,つうち,ツウチ,4,4,4,4,4,4,3,4,3,3,2,5,4,4,4,3,2,3,4,4,4,2,3,3,3,2,2,4,3,2,2,4,1,3,3,4,2,1,2,2,2,1,3,2,2,3,3,2,2,2,2,2,1,3,3,3,3,3,2,4,3,3,4,2,3,4,2,2,3,4,4
連携,れんけい,レンケイ,4,3,3,3,4,4,4,3,3,3,3,2,4,4,3,4,3,1,4,4,4,2,3,3,3,2,3,2,2,3,3,2,3,3,2,4,2,1,2,3,3,1,3,3,3,2,3,3,3,3,3,3,1,3,4,3,3,4,3,3,3,3,4,4,3,3,3,3,4,4,4
隠れ,かくれ,カクレ,4,2,1,3,3,4,3,3,3,2,3,2,2,2,2,3,3,1,1,1,1,1,2,1,3,3,4,1,1,4,4,1,2,5,5,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1
黙っ,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
net,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rt,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
お菓子,おかし,オカシ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,4,4,1,1,3,1,1,1,1,1,1,4,5,5,3,4,1,3,4,4,4,4,4,4,3,3,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,2,4,4
それだけ,それだけ,ソレダケ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,4,1,1,4,1,1,1,1,1,1,5,1,1,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1
どんなに,どんなに,ドンナニ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,4,1,1,4,1,1,1,1,1,1,4,1,1,4,5,1,4,3,4,3,4,4,3,4,4,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,4,1
まくる,まくる,マクル,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,3,1,4,4,4,1,4,4,4,4,3,4,4,4,4,4,5,3,3,4,3,3,4,4,3,3,4,4,4,3,4,4,2,4,4
エル,える,エル,4,2,1,3,3,4,3,3,3,2,3,2,2,2,3,4,3,1,2,3,2,1,4,3,1,3,3,3,2,3,3,2,2,4,4,3,1,5,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,4,4,4,1,3,3,2
オー,オー,オー,4,3,3,4,3,4,3,3,3,3,3,2,4,3,3,3,4,1,1,2,2,3,4,3,1,2,3,1,2,3,3,3,2,4,4,3,1,4,4,3,4,1,3,3,4,4,2,2,4,2,1,4,1,1,1,1,1,1,1,1,1,1,2,3,4,3,3,2,3,2,2
カップル,カップル,カップル,4,3,3,2,3,4,4,3,3,3,3,2,3,3,3,3,3,1,3,3,4,3,4,4,1,3,1,1,3,2,2,4,4,4,4,3,4,1,3,3,3,1,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3
ガキ,ガキ,ガキ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,4,4,4,1,3,1,1,4,5,5,5,4,4,4,3,1,1,3,4,4,4,4,4,4,5,1,3,4,4,3,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,2,2,2
ジャケット,ジャケット,ジャケット,4,3,4,3,3,4,3,3,3,2,4,2,4,3,3,4,2,1,3,3,3,2,3,3,1,3,1,1,3,2,2,2,2,4,3,3,3,3,3,2,2,4,3,2,2,2,3,3,2,2,1,2,4,2,2,3,2,2,2,2,2,2,4,3,3,1,3,2,4,2,3
タン,タン,タン,4,3,4,2,3,4,3,3,3,4,2,2,2,4,3,3,3,1,1,2,2,1,4,3,1,3,1,1,2,2,2,3,2,3,3,3,1,3,1,3,3,1,2,2,3,2,3,2,3,2,2,2,3,1,2,1,1,1,1,1,1,1,3,2,4,1,2,1,4,4,3
テニス,テニス,テニス,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,1,3,3,4,2,4,4,1,3,1,1,3,3,3,4,2,3,2,3,1,4,2,2,3,1,3,2,2,2,3,2,1,2,1,3,4,4,3,5,4,4,3,5,5,5,4,2,3,1,3,2,4,3,3
ネコ,ネコ,ネコ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,3,4,4,1,3,1,1,1,3,4,4,4,3,3,3,1,3,3,3,3,1,2,3,3,2,2,2,4,3,2,3,4,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,3,3,3
パー,パー,パー,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,2,3,2,3,3,3,1,2,1,1,2,3,3,3,3,2,3,4,1,3,3,2,3,1,3,3,4,3,3,1,3,1,3,4,3,3,4,2,3,3,4,3,3,3,3,3,3,1,2,3,4,3,3
ファンタジー,ファンタジー,ファンタジー,4,3,3,2,3,4,3,3,3,2,2,2,4,2,3,3,3,1,2,2,1,2,2,2,1,2,1,1,2,4,4,3,2,2,2,3,2,4,2,2,3,3,2,3,3,2,2,3,2,2,2,3,4,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,4,4,3
ベル,ベル,ベル,4,3,4,2,3,4,3,3,3,3,4,2,2,3,4,4,4,1,3,3,3,4,4,4,1,4,1,1,4,4,4,4,4,4,4,3,1,5,4,3,4,3,3,4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,4,3,3,3,3,4,4,3,4,3,4,4,4
ボディ,ボディ,ボディ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,3,1,3,2,3,3,1,2,1,1,1,2,2,3,3,3,3,3,1,3,2,2,2,3,2,2,3,2,2,2,3,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,3,5,3,1,4,3,4
メイド,メイド,メイド,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,3,1,3,3,1,3,1,1,3,3,3,4,4,4,3,3,1,3,1,3,3,4,2,3,3,2,2,3,3,3,3,4,5,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,3,2,3
中村,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,1,2,4,3,1,1,4,1,1,3,3,3,4,1,3,2,4,3,4,3,2,2,1,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,5,2,5
代理,だいり,ダイリ,4,3,3,4,3,4,3,3,3,3,3,3,4,3,3,4,3,3,2,4,3,3,3,4,4,3,3,3,4,3,3,3,3,4,4,4,2,1,3,3,3,1,3,3,3,3,3,3,3,3,2,3,1,3,3,4,3,4,3,4,3,5,4,3,3,1,3,3,4,2,3
作れる,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,4,1,1,1,4,4,1,3,1,1,1,4,4,4,4,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,2,4,4
保,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,2,2,2,3,3,2,2,4,2,1,3,2,2,1,1,4,4,3,3,2,3,2,2,3,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,1,3,1,4,2,2
判決,はんけつ,ハンケツ,4,2,1,2,3,4,3,3,3,2,2,2,3,2,2,4,3,3,4,4,3,3,3,4,4,3,2,1,3,2,2,1,1,3,3,4,2,2,3,2,2,1,3,2,2,3,3,2,2,2,1,2,1,3,3,3,5,3,3,3,3,3,4,2,3,1,3,2,4,3,3
受け取っ,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
古代,こだい,コダイ,4,2,3,2,3,4,3,3,3,3,2,3,3,2,3,4,4,4,4,4,3,2,3,3,3,4,3,3,4,3,3,3,3,4,4,4,1,4,4,3,3,1,2,3,3,2,4,3,4,2,2,3,1,4,4,4,5,4,4,4,4,4,3,4,3,3,4,3,4,4,3
基,もと,モト,4,2,2,2,3,4,3,3,4,2,2,2,2,2,2,5,3,4,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,3,3,4,1,2,3,4,3,4,3,2,3,2,3,2,2,2,2,2,5,2,1,2,2,2,2,2,4,2,4,2,3,3,3,2,5,4,4
外交,がいこう,ガイコウ,4,2,1,2,3,4,3,3,3,2,2,2,3,2,2,4,2,3,3,4,3,2,2,3,3,3,2,1,3,2,2,1,1,4,3,4,1,4,3,2,2,1,2,2,1,2,3,2,2,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,2,1,3,2,4,4,4
奈良,なら,ナラ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,1,3,3,5,1,1,3,1,1,3,3,3,2,4,5,5,3,2,4,3,5,2,5,2,5,2,2,3,5,5,5,5,2,5,1,1,1,1,1,1,1,1,1,1,1,5,1,3,1,4,3,3
嬢,じょう,ジョウ,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,2,3,4,1,4,3,3,3,5,4,4,5,4,4,5,5,4,3,4,4,3,4,2,4,3,3,3,2,2,3,2,2,2,2,2,3,3,3,3,3,3,3,4,2,3,3,3,4,5,3,1,4,5,3,1,2
小林,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,3,1,2,4,3,1,1,4,1,1,3,2,2,5,1,1,1,4,1,4,3,2,2,4,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,4,3,3
届い,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
思える,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,5,1,4,1,4,4,1,5,1,1,1,4,4,4,5,1,1,4,4,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,1,2,4,4
想い,おもい,オモイ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,3,3,1,3,1,1,4,4,4,4,4,3,3,3,4,1,1,3,3,4,3,4,4,3,2,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,3,4,4,1,3,3,3
打ち,うち,ウチ,4,2,2,3,3,4,3,3,3,2,3,3,2,2,2,3,2,1,1,3,2,1,2,3,3,3,4,3,1,4,4,3,2,3,3,3,3,1,1,3,2,4,2,2,3,3,1,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,3,4,2,1,3,4,3,2,3
描き,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
新品,しんぴん,シンピン,4,2,2,2,3,4,3,3,3,2,3,3,2,2,2,1,2,2,3,3,3,2,3,3,3,2,2,3,2,2,2,3,2,3,3,3,3,1,2,2,2,1,2,3,3,2,2,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,4,3,3,4,2,3,1,3,3
晋,しん,シン,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,2,2,2,4,4,2,4,2,2,2,2,3,3,3,2,3,1,2,2,1,3,1,2,1,1,3,2,2,3,3,2,4,1,1,1,1,1,1,1,1,1,1,3,3,2,1,2,2,4,4,2
東北,とうほく,トウホク,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,3,2,3,2,2,1,1,3,1,1,3,1,1,2,1,1,1,3,1,4,3,2,2,1,2,2,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,2,1,2,1,3,1,4,3,4
極めて,きわめて,キワメテ,4,2,1,3,3,4,4,3,3,2,2,2,2,2,2,4,3,1,5,4,4,1,3,3,3,3,3,2,4,3,3,2,3,4,4,4,3,1,1,3,3,1,3,3,3,3,4,4,3,3,3,3,4,4,4,3,4,4,5,4,4,4,3,4,3,4,4,3,4,3,4
欲しく,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
残さ,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
決勝,けっしょう,ケッショウ,4,3,3,2,3,4,3,3,3,3,4,2,2,3,3,5,4,1,3,4,3,2,4,4,4,2,4,4,2,4,4,4,2,3,3,4,1,4,2,3,3,1,2,2,3,3,2,2,2,1,1,4,1,3,3,4,3,3,3,3,3,3,4,3,4,1,2,2,5,3,3
浮気,うわき,ウワキ,4,2,2,2,3,4,3,3,4,2,2,2,2,2,2,2,4,3,3,3,5,4,4,4,4,3,3,3,4,3,3,3,3,4,4,3,4,1,3,3,3,1,4,4,3,4,3,3,2,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,4,1,3,4,2,2,3
稼げ,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
管,かん,カン,4,3,3,3,3,4,3,4,4,2,3,4,2,3,3,4,2,3,2,4,3,4,3,3,3,3,2,2,4,2,3,2,2,4,3,3,4,2,4,3,2,1,2,2,3,2,2,2,2,2,2,2,4,3,3,4,3,3,4,3,3,4,4,3,4,1,3,3,4,3,3
経過,けいか,ケイカ,4,3,2,4,3,4,4,3,3,2,3,3,4,3,2,4,3,4,4,4,4,3,3,3,3,4,3,2,4,3,3,3,3,3,3,4,3,4,4,3,3,1,3,4,3,3,4,4,3,4,4,3,1,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4
統計,とうけい,トウケイ,4,4,4,2,4,4,3,4,4,4,2,3,3,4,3,4,1,3,3,4,4,1,2,2,2,2,1,2,2,1,1,2,2,3,3,4,2,4,2,1,2,1,2,2,2,2,3,2,2,2,1,2,1,4,5,3,4,4,3,4,4,4,3,2,2,1,2,2,4,3,4
説得,せっとく,セットク,4,3,3,3,3,4,3,3,3,4,3,2,3,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,3,3,4,4,4,3,4,4,3,4,4,3,3,3
講師,こうし,コウシ,4,4,4,2,5,4,3,4,4,3,3,4,5,4,4,4,3,2,4,4,4,3,3,3,3,3,2,3,3,2,2,3,2,2,2,4,2,4,3,2,2,1,3,2,3,3,3,2,1,2,2,3,1,4,3,4,4,4,5,3,5,3,4,3,3,1,3,2,4,3,3
近年,きんねん,キンネン,4,2,2,2,3,4,3,3,3,2,3,3,3,2,2,4,2,4,4,4,4,2,2,2,2,2,2,1,3,2,2,1,2,2,2,4,1,5,2,2,2,1,2,2,3,2,4,2,3,2,1,2,1,4,4,3,4,3,3,4,4,4,3,2,2,4,3,2,4,3,3
部下,ぶか,ブカ,4,2,2,3,3,4,4,3,3,2,3,3,2,3,2,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,5,4,3,3,1,4,4,4,1,4,4,3,4,4,4,4,3,3,4,2,3,2,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,3
部長,ぶちょう,ブチョウ,4,4,4,5,3,4,4,3,4,4,3,4,4,4,4,3,5,3,3,3,3,5,4,4,4,4,2,4,3,2,3,4,4,4,4,4,5,2,4,3,4,3,4,4,4,4,3,3,2,3,1,4,1,3,3,4,5,3,3,3,3,4,3,2,4,3,4,4,4,3,3
金持ち,かねもち,カネモチ,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,2,3,1,3,3,3,4,4,4,4,3,3,4,4,3,4,4,3,4,4,3,2,1,3,3,3,1,4,3,3,4,4,3,3,3,2,3,1,3,3,4,3,3,3,3,3,4,3,3,4,1,3,3,2,4,4
関わっ,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
面白く,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
頂け,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
頑張れ,がんばれ,ガンバレ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,2,2,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ds,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
get,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sf,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
うどん,うどん,ウドン,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,1,1,3,1,2,2,2,3,1,3,2,3,3,2,2,1,2,2,3,4,3,3,4,3,3,3,4,3,3,4,2,2,1,3,3,3,2,4
おう,おう,オウ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,4,4,4,4,4,5,5,5,4,5,4,5,5,5,5,5,4,4,2,4,4,5,5,5,4,5,5,5,5,4,4,4,4,4,5,4,4,3,4,4,3,4,4,4,4,4,5,5,4,4,5,3,3,4
きっ,きっ,キッ,4,2,2,2,3,4,3,3,3,3,2,2,2,2,3,2,1,1,1,1,1,1,1,2,2,1,3,3,1,3,3,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,1,1,2
すまん,すまん,スマン,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,4,1,1,3,1,1,1,1,1,1,4,2,2,2,1,1,3,4,4,4,4,4,4,4,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1
ちまっ,ちまっ,チマッ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ついで,ついで,ツイデ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,2,4,3,3,4,3,3,3,3,2,3,3,3,4,4,4,3,3,3,3,4,2,3,3,3,2,3,4,3,4,3,2,3,3
ふざけ,ふざけ,フザケ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,4,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2
を通して,をとおして,ヲトオシテ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,4,1,1,1,1,1,1,3,1,1,4,3,2,4,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,4,1
