word,hiragana,katakana,WIKIPEDIA_V2_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
キス,キス,キス,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,3,4,1,4,4,3,4,5,5,1,4,1,1,4,4,4,4,5,5,5,3,1,3,4,4,4,4,4,4,4,3,4,3,5,5,4,5,2,1,2,2,2,2,2,2,2,4,4,5,1,4,4,5,3,3
ハーフ,ハーフ,ハーフ,3,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,2,1,2,3,3,2,2,3,1,2,1,1,3,3,4,2,2,3,3,2,1,3,2,2,1,2,2,2,2,1,2,2,2,2,3,4,3,2,3,3,3,2,3,4,3,3,3,2,1,3,3,2,2,3
水道,すいどう,スイドウ,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,2,3,3,4,3,2,2,3,3,3,2,3,3,2,2,3,2,3,3,3,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,1,3,2,4,3,3,3,3,3,4,3,2,2,1,3,3,3,4,3
州立,しゅうりつ,シュウリツ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
クリ,クリ,クリ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,2,2,1,4,3,1,3,1,1,2,2,2,3,3,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,3,2,4,1,2,4,3,3,2
遭遇,そうぐう,ソウグウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,1,3,3,1,3,3,3,2,4,4,4,3,3,3,1,3,3,3,3,3,2,3,3,3,3,4,3,4,3,3,4,2,3
広瀬,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,2,4,2,1,1,3,1,1,2,2,2,1,1,2,2,2,1,2,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,1,2
恒星,こうせい,コウセイ,3,2,2,2,3,4,3,3,3,2,2,2,2,2,2,4,1,1,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1
大川,おおかわ,オオカワ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,3,2,1,1,3,1,1,2,1,1,2,1,1,1,2,1,2,3,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,3,2,1,3,3
同等,どうとう,ドウトウ,3,2,2,2,3,4,3,3,3,2,3,3,2,2,2,3,2,3,3,3,3,2,2,3,3,2,3,2,2,3,3,2,3,2,2,3,2,1,2,2,1,2,3,3,2,3,3,2,3,3,2,1,4,4,2,3,4,3,4,3,3,3,3,2,3,2,3,3,2,3
カレッジ,カレッジ,カレッジ,3,2,2,2,3,4,3,3,4,3,2,2,2,2,3,4,1,1,1,3,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2
認証,にんしょう,ニンショウ,3,3,2,3,4,4,3,3,3,2,2,3,3,3,2,3,2,1,2,3,4,2,2,3,2,1,2,2,1,2,2,2,1,3,3,3,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,3,2,2,2,2,2,2,2,4,2,2,5,2,3,2,3,4
殺し,ころし,コロシ,3,2,2,2,3,4,3,3,3,3,2,2,2,2,2,4,4,1,2,3,2,1,4,4,4,4,4,2,1,4,4,2,3,4,4,4,3,1,1,4,1,4,4,4,4,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,4,4,3,3,4,3,3,2
代数,だいすう,ダイスウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
久保,くぼ,クボ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,3,3,1,1,2,1,1,3,2,2,3,2,2,1,3,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,1,3
重奏,じゅうそう,ジュウソウ,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
プログラミング,プログラミング,プログラミング,3,3,3,2,3,4,3,3,3,3,2,2,3,3,2,3,1,1,2,2,4,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,1,3,1,1,3,2,1,2,2,2,1,1,1,1,2,3,3,4,2,3,3,3,4,3,3,3,1,1,1,1,3,1,3,3
カテゴリ,カテゴリ,カテゴリ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,2,2
ボート,ボート,ボート,3,3,3,2,3,4,3,3,3,3,3,2,2,3,2,4,3,1,3,3,3,3,4,4,1,4,1,1,3,3,3,2,2,4,4,3,1,3,4,3,1,2,2,3,3,2,2,3,2,1,3,4,3,3,4,3,3,3,3,3,3,3,2,4,1,3,3,3,3,3
まったく,まったく,マッタク,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,4,4
ストーン,ストーン,ストーン,3,3,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,1,1,3,3,2,3,3,1,2,1,1,2,2,2,2,1,3,4,3,2,4,2,2,1,2,2,2,2,1,1,3,1,1,3,3,3,3,3,3,3,2,3,3,3,4,3,3,1,2,3,2,3,3
佳,か,カ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,5,5,4,2,5,5,2,5,5,2,5,5,3,4,5,5,2,1,5,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,3,3,1,5,2
転,てん,テン,3,3,3,2,3,4,3,3,3,4,2,2,2,2,3,2,2,5,1,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,3,3,2,1,2,2,3,1,2,3,3,3,1,3,1,2,4,4,2,3,2,2,2,3,4,2,2,2,3,2,3,2,3,2,2,2
専属,せんぞく,センゾク,3,2,2,2,3,4,3,3,3,2,2,3,3,2,2,3,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2
ソナタ,ソナタ,ソナタ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1
好意,こうい,コウイ,3,2,1,3,3,4,3,4,3,2,2,2,2,2,2,3,2,4,3,3,3,3,3,3,3,4,2,3,4,2,2,3,3,3,3,3,3,1,3,3,4,3,3,3,2,3,4,3,4,4,3,1,3,3,3,3,3,2,3,3,3,3,4,3,3,4,3,4,3,2
ローマ帝国,ローマていこく,ローマテイコク,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1
チャン,チャン,チャン,3,2,3,2,3,4,3,3,3,2,3,3,2,3,2,3,3,1,2,2,2,1,4,4,1,3,2,1,2,3,3,3,2,4,4,3,1,4,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,3,2,4,4,3,4,2,4,4
同行,どうこう,ドウコウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,2,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,2,1,3,3,3,4,4,3,3,3,4,4,3,3,3,4,2,2,3,2,2,2,2,2,2,3,4,3,4,3,3,3,2,2
もし,もし,モシ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,5,5,4,5,5,5,5,5,2,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,2,2,2,2,2,2,2,5,5,5,5,5,2,5,5
拓,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,2,3,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,1,1,2
テープ,テープ,テープ,3,4,3,5,3,4,4,4,3,4,4,4,4,4,4,4,3,1,3,4,3,3,4,4,1,4,1,1,4,3,3,3,2,4,4,3,1,2,3,2,3,3,3,2,3,3,2,2,2,2,3,4,4,4,4,5,5,4,5,4,4,4,2,4,1,3,4,3,4,4
大村,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,3,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2
改築,かいちく,カイチク,3,2,2,2,3,4,3,3,3,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,1,2,1,3,2,1,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1
有馬,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,3,2,1,1,3,1,1,2,3,4,4,1,1,1,2,1,2,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,1
ルパン,ルパン,ルパン,3,3,4,2,3,4,3,3,4,2,2,4,2,4,2,3,5,1,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,3,2,2,2,2,2,2,3,1,4,1,2,2,1,4,3
後部,こうぶ,コウブ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,3,2,1,2,3,3,3,1,2,3,1,1,2,2,3,3,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,3,4,2,3,4,3,3,3,3,2,2,2,3,3,2,3,2,2
中核,ちゅうかく,チュウカク,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,3,1,1,1,1,2,1,1,2,1,2,1,2,2,2,3,1,1,2,1,1,1,2,1,1,3,2,2,1,1,1,1,3,3,2,3,2,2,2,2,2,2,2,1,1,2,2,2,3,3
松江,まつえ,マツエ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
モー,モー,モー,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,4,3,1,3,1,1,2,2,2,2,4,3,3,3,1,2,3,1,1,2,2,3,2,1,1,3,1,1,3,3,1,1,2,1,1,1,1,1,1,2,2,4,1,2,3,3,3,1
しかも,しかも,シカモ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,1,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,5,3,4,4,5,5,3,5,5
着陸,ちゃくりく,チャクリク,3,2,2,2,3,4,3,3,3,2,3,2,3,2,2,3,3,2,1,3,2,2,3,4,4,3,2,2,3,2,2,2,2,4,4,3,3,1,3,3,1,2,2,2,2,2,2,3,2,1,3,1,3,2,3,3,3,4,3,3,5,2,3,3,3,3,3,2,4,3
小規模,しょうきぼ,ショウキボ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,2,1,1,2,1,1,1,1,1,1,2,1,1,3,2,1,2,2,1,1,2,2,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,3
阪,さか,サカ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,2,1,1,4,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1
西宮,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
あゆみ,あゆみ,アユミ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,3,3,1,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,1,2,1,2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,2,3,3,2,3
ムーン,ムーン,ムーン,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,3,4,1,1,2,3,2,3,3,1,2,1,1,2,2,2,3,1,2,3,2,1,4,2,2,1,2,2,2,2,1,1,3,2,1,4,2,1,1,2,1,1,1,1,1,1,3,2,3,1,2,3,2,2,3
前日,ぜんじつ,ゼンジツ,3,4,4,5,5,4,3,5,3,4,4,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,2,3,3,2,2,3,3,3,3,4,3,1,3,3,1,4,3,3,3,4,3,2,3,3,3,1,3,3,4,3,3,3,4,3,3,4,3,3,1,3,4,3,3,4
教徒,きょうと,キョウト,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,3,2,2,2,2,2,2,1,2,3,1,1,3,1,2,1
征,しちょう,シチョウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1,1,1,3,3,1,3,1,1,2,1,1,3,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,2,1
滅亡,めつぼう,メツボウ,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,2,3,3,1,2,2,2,3,4,2,3,2,3,3,1,2,2,2,2,2,3,2,2,2,2,3,2,3,3,3,2,2,2
ギャグ,ギャグ,ギャグ,3,2,2,3,3,4,3,4,3,2,2,2,2,2,2,3,3,1,2,2,2,2,3,3,1,2,1,1,2,3,4,3,3,1,1,3,1,2,2,2,1,3,3,3,2,1,2,2,3,2,3,4,2,2,3,2,2,2,2,4,2,3,2,3,3,2,3,3,3,3
福音,ふくいん,フクイン,3,2,1,2,4,4,3,3,3,2,2,2,4,2,3,3,1,2,2,3,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,3,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3
手塚,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,2,3,3,1,1,2,1,1,2,3,3,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,4,3
カン,カン,カン,3,2,1,3,3,4,3,3,3,2,2,3,2,2,2,4,3,1,1,2,2,1,4,4,1,4,3,2,1,3,3,3,3,3,3,3,1,4,1,2,3,3,3,4,3,2,2,4,2,2,3,4,2,2,2,2,2,2,2,2,2,3,1,4,1,3,3,1,4,3
幹,みき,ミキ,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,3,2,4,3,3,2,4,3,2,2,3,2,3,4,2,2,2,3,2,2,3,3,3,3,2,1,2,2,2,2,3,3,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,1,3,3,3,3,3
刑務所,けいむしょ,ケイムショ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,4,5,1,1,3,1,1,1,1,1,1,1,1,1,3,2,2,3,2,1,4,3,2,4,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,3,2
首位,しゅい,シュイ,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,3,1,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,1,2,1,1,2,1,1,1
ショック,ショック,ショック,3,4,4,4,3,4,3,4,5,4,3,4,4,4,4,3,4,1,4,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,3,5,5,4,4,4,4,1,4,4,4,4,4
改めて,あらためて,アラタメテ,3,4,3,4,4,4,3,4,3,3,3,3,4,4,3,3,4,1,4,4,4,1,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,2,1,4,5,4,4,4,4,4,4,4,5,5,4,4,3,3,3,5,3,2,3,3,3,4,4,3,1,4,4,5,4,5
個別,こべつ,コベツ,3,4,3,4,4,4,4,3,3,4,4,2,4,4,3,3,2,1,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,1,2,1,2,2,2,2,4,2,2,2,2,2,1,4,4,3,4,4,4,4,4,4,4,3,2,3,2,3,2,4,4
もる,もる,モル,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,3,2,3,3,3,3,3,2,3,3,2,2,2,2,1,1,1,3,1,3,3,1,2,2,3,3,3,2,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,2
ようやく,ようやく,ヨウヤク,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,3,3,4,4,4,2,5,4,2,5,4,4,4,5,4,4,4,4,2,3,4,5,4,5,4,4,4,5,5,5,5,4,5,5,5,2,4,5,3,4,4,4,2,2,4,4,5,4,2,4,4
曖昧,あいまい,アイマイ,3,3,3,3,4,4,3,4,4,3,3,2,3,3,3,4,2,4,4,4,3,3,2,2,3,3,3,3,4,3,3,3,4,3,3,3,4,1,4,3,1,3,4,3,3,4,4,3,4,4,3,3,4,4,3,4,4,4,4,4,4,3,4,2,4,4,3,4,3,3
日本一,にほんいち,ニホンイチ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,3,1,3,2,3,4,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,4,1
建て,だて,ダテ,3,3,3,3,3,4,3,3,3,4,3,3,4,4,3,4,1,1,1,4,3,1,1,2,2,3,1,2,1,1,1,2,1,4,4,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,2,4,3,3,3,3,3,5,3,3,1,1,3,4,2,2,3
美女,びじょ,ビジョ,3,2,2,2,3,4,3,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,2,3,3,3,3,3,1,3,3,4,3,3,3,3,3,3,2,3,3,3,1,2,1,2,2,2,2,2,2,2,3,4,3,1,4,4,3,3,3
鐘,かね,カネ,3,2,2,2,3,4,3,3,3,2,2,3,3,2,2,3,3,4,3,3,2,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,2,2,3,3,1,3,3,2,3,3,3,3,2,2,3,5,3,2,3,3,3,2,3,3,5,2,3,3,1,3,2,3,3,3
邦,くに,クニ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,2,3,2,1,2,1,1,1,2,2,3,2,1,1,2,1,1,2,2,1,2,2,2,3,2,1,2,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,2,2
エリザベス,エリザベス,エリザベス,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,2,3,4,1,1,3,1,1,2,4,4,2,1,4,4,2,1,4,3,2,1,1,1,1,2,2,1,2,1,1,1,4,2,3,2,2,2,2,2,2,2,3,1,4,1,2,3,1,2,2
知的,ちてき,チテキ,3,2,2,2,3,4,3,3,3,3,2,2,3,2,2,3,2,3,3,4,4,2,2,3,3,3,2,2,3,2,2,2,2,3,3,4,2,1,3,2,1,2,2,2,2,4,2,3,2,2,2,1,3,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3
蛇,へび,ヘビ,3,3,3,3,3,4,3,3,4,2,3,4,2,2,3,3,3,4,4,3,2,4,3,3,4,4,4,3,4,4,4,3,3,3,4,3,4,2,4,3,1,3,3,3,3,3,4,3,3,3,4,3,3,2,4,3,3,3,3,3,3,3,4,3,1,4,3,4,4,3
牧,まき,マキ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,2,1,2,3,1,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,1,4,2
神聖,しんせい,シンセイ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,4,4,3,3,1,3,3,3,3,3,3,2,3,3,4,3,3,3,1,3,3,2,3,3,4,3,3,3,2,4,3,1,3,3,3,3,3
スカウト,スカウト,スカウト,3,4,4,4,4,4,5,3,3,4,4,4,4,4,3,3,3,1,1,2,3,3,3,3,1,2,1,1,2,2,3,3,2,3,3,2,2,2,2,3,1,3,3,3,3,2,2,3,2,2,3,4,3,2,3,3,3,2,3,3,3,2,3,3,1,2,3,3,2,2
毎月,まいつき,マイツキ,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,2,3,3,2,2,3,2,3,3,4,3,2,3,2,1,3,3,4,3,4,2,2,2,2,3,1,3,2,4,3,3,4,3,3,4,4,2,3,1,3,3,2,4,4
命中,めいちゅう,メイチュウ,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,3,3,2,1,2,2,2,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,1,3,3,1,2,3,2,2,1,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,2,4,3,4,3,2,3,2,2
したがって,したがって,シタガッテ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,3,2,1,1,4,1,1,1,1,1,1,2,1,1,4,2,5,4,2,1,2,2,2,2,4,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,1
住人,じゅうにん,ジュウニン,3,2,2,3,3,4,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,1,3,3,1,3,4,3,3,3,4,4,3,4,3,1,3,2,3,2,2,2,2,2,4,3,4,4,4,4,3,3,2,2
トレード,トレード,トレード,3,3,3,2,3,4,3,3,3,2,4,2,2,3,2,4,1,1,2,3,4,1,2,2,1,1,1,1,1,2,2,1,1,2,2,3,1,3,2,1,1,1,1,2,1,1,1,2,1,1,2,3,3,4,2,3,3,3,3,3,3,4,2,2,1,1,3,2,1,5
クリス,クリス,クリス,3,2,2,2,3,4,3,3,3,2,3,2,2,2,2,3,3,1,2,2,2,1,4,1,1,3,1,3,1,1,1,3,4,4,4,3,1,5,1,1,1,2,2,3,2,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,4,1,3,3,1,2,2
片岡,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,1,3,2,1,1,3,1,1,2,2,2,1,2,2,2,2,1,2,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1
三男,さんなん,サンナン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,4,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,3,3,1,1,2,3,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
統,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1
改組,かいそ,カイソ,3,2,2,2,3,4,3,3,3,2,2,2,2,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
