term,reading_frequency
性格,1078
それまで,1079
かつて,1080
遠く,1081
今後,1082
発見,1083
ことがない,1084
同じよう,1085
希望,1086
ついに,1087
集中,1088
万,1089
効果,1090
意見,1091
何より,1092
そのこと,1093
息子,1094
訪れる,1095
であれば,1096
証拠,1097
一日,1098
月,1099
遠慮,1100
時,1101
名,1102
数,1103
実際に,1104
暇,1105
影響,1106
相当,1107
なし,1108
のせいで,1109
建物,1110
ほぼ,1111
重要,1112
せめて,1113
後悔,1114
誰にも,1115
いなくなる,1116
紹介,1117
疑問,1118
速い,1119
抜く,1120
楽,1121
予想,1122
超える,1123
努力,1124
円,1125
立派,1126
一方,1127
確実,1128
当時,1129
妻,1130
通う,1131
流れ,1132
責任,1133
偶然,1134
作業,1135
運命,1136
どの,1137
伸びる,1138
下がる,1139
気をつける,1140
可能,1141
支える,1142
非常,1143
一歩,1144
最も,1145
確かめる,1146
乗せる,1147
お話,1148
常に,1149
通じる,1150
得意,1151
二度と,1152
関わる,1153
あんなに,1154
成長,1155
遅れる,1156
本来,1157
きり,1158
注意,1159
夏,1160
取れる,1161
計画,1162
直す,1163
問う,1164
役,1165
その日,1166
にしても,1167
解決,1168
扱う,1169
重ねる,1170
ものがある,1171
混乱,1172
案内,1173
寒い,1174
罪,1175
事態,1176
行為,1177
とともに,1178
に向けて,1179
いつまでも,1180
中心,1181
条件,1182
屋,1183
左,1184
型,1185
展開,1186
残り,1187
量,1188
その中,1189
一切,1190
迷惑,1191
古い,1192
結ぶ,1193
別れる,1194
というより,1195
抑える,1196
といい,1197
番,1198
楽しみ,1199
日々,1200
年,1201
間,1202
気,1203
下,1204
間違い,1205
なお,1206
その人,1207
頼る,1208
目立つ,1209
苦労,1210
ごと,1211
信用,1212
唯一,1213
寄る,1214
減る,1215
間に合う,1216
到着,1217
面,1218
差,1219
時には,1220
価値,1221
対応,1222
額,1223
含む,1224
まとめる,1225
すべき,1226
有名,1227
反対,1228
安全,1229
でる,1230
ついてる,1231
ぶり,1232
午後,1233
切れる,1234
活動,1235
時期,1236
際,1237
正確,1238
以来,1239
大きくなる,1240
完成,1241
なり,1242
貸す,1243
新,1244
たった,1245
降る,1246
最後まで,1247
狭い,1248
出かける,1249
至る,1250
でもある,1251
一生,1252
信頼,1253
不満,1254
といえば,1255
全体,1256
よる,1257
病気,1258
複雑,1259
代,1260
含める,1261
違い,1262
ほか,1263
育てる,1264
ままに,1265
少しでも,1266
にくい,1267
保つ,1268
回,1269
通す,1270
役に立つ,1271
学ぶ,1272
このよう,1273
比べる,1274
限る,1275
対象,1276
度,1277
そのうち,1278
世の中,1279
加える,1280
亡くなる,1281
最大,1282
人気,1283
及ぶ,1284
将来,1285
種類,1286
半,1287
苦しむ,1288
訴える,1289
ずつ,1290
たつ,1291
関する,1292
決定,1293
なくす,1294
分ける,1295
いわゆる,1296
にかけて,1297
よな,1298
視線,1299
嬉しい,1300
ねえ,1301
出来る,1302
ダメ,1303
見つめる,1304
全て,1305
少女,1306
扉,1307
わたし,1308
もしかして,1309
俺たち,1310
瞳,1311
先輩,1312
皆,1313
奴,1314
はあ,1315
五,1316
慌てる,1317
街,1318
達,1319
というか,1320
なんだか,1321
攻撃,1322
なぁ,1323
妹,1324
じゃん,1325
立ち上がる,1326
唇,1327
はっ,1328
ねぇ,1329
震える,1330
浮かべる,1331
可愛い,1332
気付く,1333
あー,1334
両手,1335
んん,1336
身体,1337
すみません,1338
三人,1339
お母さん,1340
眺める,1341
何だ,1342
ドア,1343
床,1344
かい,1345
やがる,1346
ベッド,1347
少年,1348
そりゃ,1349
森,1350
わけじゃない,1351
ひとつ,1352
倒す,1353
構う,1354
響く,1355
あの子,1356
笑み,1357
謝る,1358
振り返る,1359
かよ,1360
仕方ない,1361
やがて,1362
我々,1363
口にする,1364
バカ,1365
ふと,1366
肉,1367
まい,1368
地面,1369
えっと,1370
何で,1371
お父さん,1372
叩く,1373
そっか,1374
見上げる,1375
声をかける,1376
全身,1377
連中,1378
さま,1379
戦い,1380
告げる,1381
気配,1382
と共に,1383
そっと,1384
廊下,1385
取り出す,1386
影,1387
色々,1388
噂,1389
四,1390
兄,1391
怒り,1392
嘘,1393
生徒,1394
相変わらず,1395
浮かぶ,1396
そうですね,1397
傷,1398
痛み,1399
放つ,1400
体,1401
なのです,1402
背後,1403
闇,1404
おう,1405
普段,1406
綺麗,1407
手紙,1408
下さる,1409
かのように,1410
電話,1411
じっと,1412
お願いします,1413
だからこそ,1414
挨拶,1415
テーブル,1416
かね,1417
無駄,1418
かわいい,1419
王,1420
さっさ,1421
２人,1422
村,1423
触る,1424
六,1425
駄目,1426
巨大,1427
光景,1428
多分,1429
黒,1430
ござる,1431
石,1432
だよね,1433
おそらく,1434
二つ,1435
付き合う,1436
肌,1437
武器,1438
当てる,1439
椅子,1440
そいつ,1441
無い,1442
恐怖,1443
おいしい,1444
命令,1445
本当に,1446
たぶん,1447
いったい,1448
す,1449
マジ,1450
口を開く,1451
匂い,1452
格好,1453
そうね,1454
頬,1455
っていう,1456
クラス,1457
いやいや,1458
それじゃ,1459
尋ねる,1460
うわ,1461
犬,1462
もはや,1463
階段,1464
そう言う,1465
いいえ,1466
もしかしたら,1467
机,1468
先ほど,1469
ゲーム,1470
勝負,1471
そうそう,1472
本物,1473
だめ,1474
レベル,1475
真剣,1476
七,1477
星,1478
まずい,1479
教室,1480
いま,1481
そのとき,1482
鋭い,1483
あたり,1484
口調,1485
姉,1486
似合う,1487
方がいい,1488
ちなみに,1489
揺れる,1490
話しかける,1491
あるいは,1492
視界,1493
そうだね,1494
限界,1495
作戦,1496
頭を下げる,1497
申す,1498
お互い,1499
なんじゃ,1500
は,1501
家,1502
既に,1503
取り戻す,1504
右手,1505
女子,1506
ばっかり,1507
白,1508
猫,1509
馬鹿,1510
適当,1511
そば,1512
なんでも,1513
一言,1514
心臓,1515
なぜか,1516
酒,1517
いいか,1518
違いない,1519
魂,1520
空間,1521
真面目,1522
たる,1523
お礼,1524
薬,1525
お茶,1526
味方,1527
炎,1528
タイミング,1529
両親,1530
様に,1531
荷物,1532
それら,1533
細い,1534
警戒,1535
鍵,1536
飛び出す,1537
膝,1538
ほどに,1539
何とか,1540
というのに,1541
興奮,1542
褒める,1543
我が,1544
指示,1545
弟,1546
っていうか,1547
わずか,1548
十,1549
舌,1550
鳴る,1551
穴,1552
そちら,1553
タイプ,1554
随分,1555
差し出す,1556
やら,1557
八,1558
ども,1559
閉じる,1560
光る,1561
勘違い,1562
警察,1563
何でも,1564
伸ばす,1565
それに,1566
冷静,1567
第,1568
頂く,1569
怪しい,1570
馬,1571
衝撃,1572
城,1573
巻き込む,1574
多少,1575
同士,1576
って言う,1577
そのよう,1578
恋人,1579
てる,1580
気がつく,1581
病院,1582
回す,1583
わけない,1584
汗,1585
開始,1586
それで,1587
まとも,1588
青い,1589
押さえる,1590
超,1591
ずいぶん,1592
提案,1593
悔しい,1594
一本,1595
室,1596
ってのは,1597
ど,1598
真実,1599
研究,1600
人,1601
いや,1602
身体,1603
背,1604
いつの間にか,1605
我,1606
扱い,1607
回復,1608
どうでもいい,1609
知識,1610
恋,1611
抵抗,1612
ぜ,1613
犯人,1614
うれしい,1615
天,1616
広げる,1617
に関して,1618
付く,1619
文字,1620
苦手,1621
引っ張る,1622
解放,1623
ともかく,1624
箱,1625
追いかける,1626
真っ赤,1627
見事,1628
ほんと,1629
絵,1630
でございます,1631
あああ,1632
おはよう,1633
嫌う,1634
破壊,1635
壊れる,1636
拾う,1637
今夜,1638
囲む,1639
知り合い,1640
単純,1641
船,1642
中身,1643
系,1644
とんでもない,1645
なりに,1646
辺り,1647
完璧,1648
脱ぐ,1649
全力,1650
無言,1651
へえ,1652
門,1653
仲良く,1654
技術,1655
それじゃあ,1656
殴る,1657
大量,1658
沈黙,1659
感触,1660
思考,1661
どころか,1662
試す,1663
島,1664
ということだ,1665
言い方,1666
会社,1667
経つ,1668
やっぱ,1669
趣味,1670
張る,1671
主,1672
紙,1673
隙,1674
何者,1675
ふん,1676
いよいよ,1677
従う,1678
異常,1679
中央,1680
久しぶり,1681
正体,1682
長,1683
戦争,1684
穏やか,1685
なんとなく,1686
左右,1687
吸う,1688
柔らかい,1689
構える,1690
ただし,1691
赤,1692
授業,1693
ゆく,1694
式,1695
何もない,1696
そんなもの,1697
しれる,1698
不可能,1699
投げる,1700
ほう,1701
なあ,1702
洗う,1703
見守る,1704
焼く,1705
天井,1706
鳥,1707
思いつく,1708
あっさり,1709
男の子,1710
雪,1711
ふざける,1712
確信,1713
イメージ,1714
わけにはいかない,1715
この世,1716
悲鳴,1717
辛い,1718
こ,1719
話題,1720
認識,1721
振り向く,1722
あまりにも,1723
申し訳ない,1724
わあ,1725
化する,1726
焦る,1727
問題ない,1728
突っ込む,1729
制服,1730
やってみる,1731
もうすぐ,1732
驚き,1733
許可,1734
映る,1735
壊す,1736
きちんと,1737
あっち,1738
裏切る,1739
人形,1740
鼻,1741
謎,1742
その間,1743
二十,1744
了解,1745
発言,1746
その手,1747
大した,1748
組む,1749
手段,1750
最悪,1751
呼び出す,1752
ありがたい,1753
誤解,1754
メートル,1755
訳,1756
吐く,1757
告白,1758
喉,1759
転がる,1760
旅,1761
見た目,1762
バレる,1763
濡れる,1764
呼吸,1765
素晴らしい,1766
出来事,1767
行ってくる,1768
同様,1769
受け止める,1770
少しずつ,1771
実に,1772
自覚,1773
きれい,1774
見送る,1775
参る,1776
爆発,1777
動揺,1778
着替える,1779
解く,1780
連れてくる,1781
増す,1782
自体,1783
東,1784
ぼんやり,1785
どうにか,1786
となると,1787
とはいえ,1788
精神,1789
さっきから,1790
飛ばす,1791
文句,1792
踏む,1793
時点,1794
発生,1795
あとで,1796
付ける,1797
つかむ,1798
沈む,1799
と同じように,1800
内,1801
抱く,1802
傷つける,1803
掃除,1804
ころ,1805
二人とも,1806
はじめる,1807
道具,1808
現場,1809
春,1810
歴史,1811
依頼,1812
足音,1813
術,1814
全,1815
たまる,1816
手にする,1817
一枚,1818
チャンス,1819
第二,1820
ついでに,1821
思い出,1822
歌,1823
覆う,1824
庭,1825
ただいま,1826
応える,1827
だい,1828
ありがとうございました,1829
恐れる,1830
毒,1831
騒ぐ,1832
背負う,1833
あまりに,1834
大学,1835
みな,1836
底,1837
ぶつかる,1838
素敵,1839
少々,1840
がな,1841
微妙,1842
担当,1843
お店,1844
怪我,1845
ひとり,1846
同じく,1847
例えば,1848
ほうがいい,1849
三十,1850
直後,1851
調査,1852
今年,1853
応援,1854
使用,1855
言いながら,1856
早速,1857
玄関,1858
満ちる,1859
予感,1860
心の中,1861
片手,1862
逃げ出す,1863
速度,1864
飛び込む,1865
探る,1866
こら,1867
刺激,1868
物語,1869
男子,1870
ありがと,1871
もしも,1872
いいや,1873
硬い,1874
かあ,1875
ひと,1876
印象,1877
感,1878
願い,1879
いくつか,1880
にしては,1881
夫,1882
意志,1883
あくまで,1884
魚,1885
もともと,1886
勝利,1887
意思,1888
もっとも,1889
こうする,1890
察する,1891
太陽,1892
ますます,1893
歌う,1894
大体,1895
才能,1896
と思ったら,1897
はずがない,1898
果たす,1899
選択,1900
並べる,1901
とっても,1902
なか,1903
名乗る,1904
東京,1905
味わう,1906
燃える,1907
自分でも,1908
真似,1909
越える,1910
左手,1911
懐かしい,1912
パン,1913
入り口,1914
部下,1915
間に,1916
鬼,1917
幼い,1918
間違える,1919
一度も,1920
組,1921
ほんの,1922
下げる,1923
偉い,1924
捕まえる,1925
漂う,1926
鏡,1927
笑い,1928
香り,1929
この前,1930
優秀,1931
込める,1932
発する,1933
機,1934
はずです,1935
会,1936
あいつら,1937
たっぷり,1938
わざと,1939
崩れる,1940
いいこと,1941
証明,1942
支配,1943
潰す,1944
様々,1945
感心,1946
姿勢,1947
先日,1948
今すぐ,1949
土地,1950
神様,1951
あらゆる,1952
いろんな,1953
地下,1954
承知,1955
に置いて,1956
挟む,1957
年齢,1958
とおり,1959
西,1960
事故,1961
やって来る,1962
訓練,1963
学生,1964
用事,1965
一年,1966
捜す,1967
組織,1968
地上,1969
責める,1970
わけがない,1971
なす,1972
固い,1973
おいおい,1974
すっごい,1975
防ぐ,1976
祈る,1977
整える,1978
帰り,1979
温かい,1980
把握,1981
覗く,1982
九,1983
込む,1984
笑い声,1985
音がする,1986
効く,1987
冬,1988
ように言う,1989
漏れる,1990
勇気,1991
預ける,1992
仕方がない,1993
表現,1994
テレビ,1995
揃う,1996
記録,1997
育つ,1998
まくる,1999
好きになる,2000
とる,2001
金,2002
なり,2003
宣言,2004
体力,2005
絶望,2006
まっすぐ,2007
よろしくお願いします,2008
もうちょっと,2009
ご飯,2010
秒,2011
空く,2012
吹く,2013
強引,2014
百,2015
平和,2016
甘える,2017
だけでなく,2018
数日,2019
骨,2020
だの,2021
情けない,2022
決意,2023
知れる,2024
言い訳,2025
下りる,2026
観察,2027
きつい,2028
袋,2029
違和感,2030
おっしゃる,2031
その通り,2032
氷,2033
つらい,2034
北,2035
出て行く,2036
寄せる,2037
しょうがない,2038
端,2039
メンバー,2040
助け,2041
布,2042
どうしようもない,2043
丁寧,2044
土,2045
たまたま,2046
だいぶ,2047
下手,2048
永遠,2049
評価,2050
景色,2051
いくらでも,2052
１人,2053
びっくり,2054
掛ける,2055
固まる,2056
美人,2057
だらけ,2058
地獄,2059
今に,2060
この先,2061
外れる,2062
翌日,2063
小,2064
埋める,2065
動物,2066
隙間,2067
いかが,2068
油断,2069
貫く,2070
線,2071
申し訳ありません,2072
続き,2073
ついている,2074
何だか,2075
氏,2076
刺す,2077
見かける,2078
控える,2079
靴,2080
特殊,2081
主人,2082
つ,2083
目標,2084
みたいです,2085
やり方,2086
傷つく,2087
教師,2088
他にも,2089
青,2090
泳ぐ,2091
騒ぎ,2092
届ける,2093
おかげ,2094
派手,2095
崩す,2096
仕掛ける,2097
からこそ,2098
本日,2099
だいたい,2100
力,2101
実力,2102
踊る,2103
次第,2104
雲,2105
たびに,2106
捕まる,2107
破る,2108
巻く,2109
もう一つ,2110
役目,2111
３人,2112
自慢,2113
今でも,2114
駅,2115
要求,2116
高校,2117
手を出す,2118
そしたら,2119
ぶつける,2120
範囲,2121
戦,2122
どっか,2123
その上,2124
と言い,2125
顔色,2126
音楽,2127
映画,2128
仮に,2129
鉄,2130
今朝,2131
プレゼント,2132
自分から,2133
ついてくる,2134
あがる,2135
追いつく,2136
環境,2137
主張,2138
染まる,2139
注ぐ,2140
奇妙,2141
正解,2142
満たす,2143
暴れる,2144
宿,2145
つくる,2146
慎重,2147
閉める,2148
表,2149
大勢,2150
促す,2151
と言えば,2152
心から,2153
暑い,2154
持ち上げる,2155
蹴る,2156
折れる,2157
終了,2158
台,2159
昼,2160
いかにも,2161
安い,2162
出発,2163
機能,2164
言い出す,2165
南,2166
管理,2167
性,2168
純粋,2169
こっそり,2170
草,2171
卒業,2172
契約,2173
基本的,2174
からかう,2175
作品,2176
ふる,2177
ショック,2178
あう,2179
なんでもない,2180
目覚める,2181
夕方,2182
爪,2183
確保,2184
生き物,2185
現状,2186
照らす,2187
たら,2188
糸,2189
時々,2190
幸い,2191
やあ,2192
足元,2193
せいか,2194
枚,2195
連れて行く,2196
緑,2197
次々,2198
社会,2199
感動,2200
字,2201
堂々,2202
突く,2203
トイレ,2204
といっても,2205
収まる,2206
濃い,2207
あえて,2208
子ども,2209
命じる,2210
しゃべる,2211
買い物,2212
あちこち,2213
こんにちは,2214
不幸,2215
虫,2216
ひたすら,2217
橋,2218
述べる,2219
からって,2220
具合,2221
おかしな,2222
刻む,2223
かく,2224
舞台,2225
教育,2226
生,2227
返る,2228
ものである,2229
機械,2230
にて,2231
細かい,2232
ったら,2233
