word,JPDB_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
や,61,146,24,67,419,63,26,36,62,128,48,135,59,151,197,330,151,138,188,89,46,53,1947,24,971,907,17,17,704,62,221,62,751,25,63,54
ながら,63,284,258,464,-1,173,115,641,463,421,60,438,75,467,499,27,467,431,477,79,592,617,-1,-1,37,3930,407,300,5810,483,412,71,4334,378,170,152
こんな,67,230,7635,114,-1,435,272,122,143,162,130,171,198,111,127,108,111,102,120,128,175,193,-1,-1,167,114,6823,6719,155,149,121,169,80,6996,154,125
どう,71,76,860,52,42,126,88,94,51,35,45,39,105,42,41,17,42,39,37,71,41,49,5571,759,185,91,97,305,29,52,42,60,22,1012,117,64
いや,72,52,14937,84,494,8684,3073,46,117,107,208,114,167,92,75,94,92,84,70,102,124,139,233,6747,120,117,1163,1430,318,123,310,183,132,13835,135,147
はい,74,30,11012,45,1690,1531,2377,20,86,82,4488,89,458,101,72,175,101,92,67,112,343,350,9623,4972,358,89,494,1663,3810,88,134,308,7604,13179,90,62
ちょっと,75,51,9101,80,676,414,796,52,114,113,131,120,221,114,82,144,114,105,76,103,135,146,14,-1,171,118,2826,2851,115,119,180,204,48,7546,50,45
さ,77,44,13,69,402,234,113,67,65,80,55,87,74,91,89,1732,91,83,82,63,35,43,2902,8739,90,148,38,38,82,65,159,93,104,136,121,111
まだ,78,143,1548,126,-1,339,401,121,111,111,112,118,153,107,134,85,107,98,125,133,118,133,10325,9042,108,121,718,819,106,114,178,163,85,1919,267,190
じゃ,80,4252,3438,26,-1,2391,3343,23,34,211,192,220,65,123,450,3765,123,114,202,36,47,56,-1,24371,52,161,406,893,20529,35,236,222,8053,2190,52,285
また,81,175,41,123,209,149,84,131,115,212,76,221,120,242,169,52,242,224,160,123,164,181,8767,2,62,137,31,23,190,120,80,130,122,48,146,86
できる,83,101,116,77,-1,89,27,320,63,64,56,70,85,76,86,68,76,70,79,81,-1,-1,104,20383,543,111,135,85,24,63,77,68,30,62,72,50
いう,84,22,39,96,-1,32,23,19,121,63,15,43,45,51,42,8,54,49,43,72,-1,-1,3,-1,7,212,46,46,3,130,67,29,4,182,41,16
うん,85,1,12004,59,326,2172,4034,50,100,102,-1,109,588,71,51,369,71,65,46,86,284,239,3755,13881,519,76,554,2026,1798,103,722,393,2517,11480,158,145
たち,86,153,169,82,237,145,421,478,78,53,47,59,62,46,67,64,46,43,62,158,84,93,394,15834,882,153,412,599,15,81,285,65,32,172,196,140
ため,87,8120,34,104,507,118,114,4843,90,89,-1,20164,116,12793,18192,55,106,97,166,137,101,112,614,981,4002,268,60,41,17928,94,120,102,15747,32,109,98
そこ,88,3410,462,210,278,3174,582,536,232,183,6011,2708,144,2277,3429,59,160,147,193,138,142,156,1288,-1,14646,225,855,775,1625,241,197,122,1443,1187,169,122
もらう,90,119,5194,132,-1,383,155,632,172,184,136,193,254,148,158,261,148,135,149,196,-1,-1,455,-1,1133,140,1914,1710,80,182,289,232,94,2112,287,215
みる,92,71,4852,129,-1,83,154,774,127,141,35,55,123,73,68,16,169,156,116,121,-1,-1,7,19109,227,177,90,113,21,135,128,144,21,583,85,73
ちゃん,93,83,1863,70,-1,570,437,59,152,95,150,102,287,74,39,648,74,68,35,73,450,389,-1,12863,258,127,8359,8187,97,160,767,155,25,725,934,232
みたい,95,59,9757,137,-1,443,345,115,123,125,163,132,246,184,125,212,184,169,118,110,159,174,-1,-1,187,172,12342,12543,134,133,188,213,67,9333,60,88
ところ,96,134,421,206,172,153,316,256,398,245,262,257,97,177,176,26,177,164,167,135,232,261,272,22241,103,280,278,157,52,417,288,99,59,617,89,66
あれ,98,185,1416,109,-1,8138,2566,114,163,194,172,543,262,296,235,106,124,115,137,223,251,262,-1,18105,269,112,2328,2331,159,174,117,268,135,11366,186,191
かな,99,4442,15549,3429,3253,15974,11667,130,6647,10793,3607,17338,5311,2803,6401,2857,2803,23488,6164,1905,3397,2927,-1,8147,320,13248,3597,3210,9631,6978,8233,18372,10977,7695,4035,2565
あなた,100,356,3549,86,2800,281,493,54,64,67,74,73,135,128,148,143,128,119,139,193,39,47,71,5537,77,170,3845,4138,121,64,359,152,71,2211,407,176
らしい,102,249,4119,301,-1,528,511,672,317,398,102,415,145,393,386,83,393,364,366,187,-1,-1,-1,19300,260,318,884,987,499,335,165,149,465,1097,640,407
ただ,103,315,1958,200,919,662,857,211,202,499,129,517,177,488,541,101,400,370,519,166,184,222,17975,194,135,251,1014,892,410,210,450,181,293,2131,94,179
ほど,104,703,388,309,312,228,152,487,300,290,85,303,131,247,469,63,247,229,448,153,354,390,1430,18775,100,383,270,216,6084,315,921,129,4824,468,348,318
わかる,105,67,5231,127,-1,158,95,43,453,422,58,53,110,89,70,345,147,134,467,85,-1,-1,90,-1,44,1631,915,887,30,472,107,108,24,1993,104,132
なん,108,11455,3251,218,284,11543,674,127,531,99,6651,7296,197,8302,5747,3365,59,54,55,156,158,176,13753,-1,303,290,734,2067,7202,555,150,104,8109,5774,260,60
え,109,741,1576,50,878,4075,7236,1095,83,177,5645,890,251,8667,18234,643,118,109,88,75,177,187,3651,6825,1312,103,77,158,2029,85,294,292,21843,1223,234,146
より,112,239,38,171,-1,181,79,207,154,135,91,142,128,129,167,67,129,120,158,127,160,178,7011,305,106,194,103,83,1112,162,133,120,884,61,139,142
なんか,115,250,19307,139,13547,961,1408,172,235,459,278,477,334,321,392,316,321,296,372,175,475,489,20844,-1,353,22857,9148,11074,12266,243,609,486,22803,13776,167,231
しか,116,187,701,191,2282,403,230,377,206,217,142,227,219,188,236,128,188,173,224,186,285,306,9895,18963,345,285,851,831,4377,214,499,188,12058,746,195,222
わけ,118,133,1684,142,571,171,540,810,210,191,12570,200,134,115,140,60,115,106,131,122,324,355,484,5613,1903,190,1770,1846,62,218,863,140,57,2150,99,76
まあ,120,45,-1,165,-1,806,759,149,195,192,113,201,282,199,112,216,199,182,105,195,345,340,-1,17284,287,271,5036,5141,73,205,653,321,49,18103,123,117
よい,122,20704,2623,105,1584,93,41,813,110,105,44,33,166,41,32,2359,138,127,104,188,5893,6294,17,18992,355,158,138,121,16,113,694,178,11,1141,409,244
とも,123,2944,140,648,787,1885,588,452,688,747,326,1461,325,1121,1970,122,797,736,777,552,392,429,4805,440,153,965,308,138,3859,720,657,237,3538,545,763,378
まま,124,311,404,240,1504,284,914,652,344,268,8150,280,168,189,254,79,189,174,241,131,347,374,4887,-1,148,495,496,402,76,365,314,123,24153,949,513,273
よく,125,3966,730,183,476,12426,635,219,149,150,114,5055,165,5853,4748,81,191,176,176,219,202,230,2383,13452,138,229,348,272,3635,156,312,199,3007,962,231,203
どこ,126,117,2909,116,635,321,935,161,94,92,107,99,154,112,132,82,112,103,123,161,89,101,3191,-1,229,144,1507,1190,120,97,199,164,92,2556,318,227
くらい,127,77,4374,407,323,238,160,573,399,381,122,397,266,311,222,163,311,287,211,171,377,409,1446,-1,225,346,1725,1329,1313,419,669,220,887,4407,96,183
みんな,128,110,4134,95,185,350,1449,116,116,123,15288,130,294,122,117,215,122,113,110,181,166,179,1494,14487,149,126,7514,7985,117,121,401,385,76,2650,200,189
おく,130,208,4296,239,283,283,241,1156,243,269,98,281,169,258,262,116,258,240,249,189,18256,17195,679,14478,691,511,238,235,74,257,113,161,91,1721,134,119
よう,131,8967,46,72,246,606,64,155,73,77,396,5298,31,4850,7055,10,72,66,80,35,51,59,838,3841,476,292,39,32,537,75,45,32,888,42,42,38
もっと,132,269,4559,224,-1,646,386,272,219,227,250,237,415,235,223,270,235,218,212,172,214,243,-1,10899,406,235,9795,9022,360,229,332,377,116,4582,369,282
ずっと,133,211,5827,278,-1,917,650,240,285,283,258,296,460,356,228,279,356,328,217,227,293,325,-1,21900,450,302,6491,5202,381,302,1516,367,149,5722,445,316
あげる,134,209,9240,236,-1,307,310,769,283,282,118,295,206,306,218,118,306,283,207,176,-1,-1,256,-1,939,400,501,655,96,297,884,277,89,2267,530,366
こう,137,61,499,284,59,199,221,2336,227,169,93,178,274,220,157,74,220,203,148,295,309,319,2468,1930,18060,329,55,165,137,236,594,177,90,1238,147,59
あと,142,93,2406,182,34,206,166,526,168,175,310,184,187,205,179,66,205,188,170,260,363,378,221,1268,266,193,350,336,66,177,523,227,87,2758,86,134
はず,144,667,2852,192,317,428,553,535,162,170,-1,179,196,167,357,105,167,154,339,179,185,215,3878,-1,277,371,1558,1360,89,171,434,176,115,3229,345,528
なに,145,21,13137,283,8,111,3127,24,489,537,31,23,214,22,27,56,274,254,330,143,316,354,9,14353,87,932,2112,746,13,510,1677,175,7,9749,576,409
すごい,148,63,15030,162,-1,804,579,281,133,124,347,131,1129,157,124,1276,157,144,117,184,-1,-1,158,-1,1524,176,14481,11805,200,141,772,523,82,10155,113,85
ちゃんと,150,210,19729,252,-1,1603,976,213,449,449,428,467,740,454,224,525,454,419,213,233,670,663,46,-1,721,390,-1,23824,503,473,710,650,180,10826,296,289
どんな,153,581,5815,276,-1,548,302,317,272,298,184,311,324,336,354,174,336,310,337,367,213,244,-1,-1,294,308,4273,3016,440,285,667,330,283,5866,377,355
とき,156,78,332,144,13,86,375,129,319,328,14295,101,103,143,171,117,143,130,162,209,365,404,76,7304,113,510,115,96,40,337,812,124,42,407,141,161
かける,160,291,4733,321,-1,305,850,1762,264,250,109,262,157,388,334,84,388,359,318,224,-1,-1,1431,-1,2765,456,196,223,98,275,467,173,123,868,401,304
おる,162,1844,24535,157,-1,8317,8538,10499,311,407,1399,3915,179,4028,7182,2873,210,193,550,292,-1,-1,4782,-1,1769,1370,557,565,3149,330,193,193,2852,64,150,89
すぎる,163,293,5238,334,-1,569,1387,327,182,229,152,239,310,333,300,188,333,308,285,217,-1,-1,535,-1,221,872,1869,1610,141,191,751,343,121,2320,334,322
まさか,165,1483,19083,250,-1,3418,2927,367,316,315,461,329,858,209,345,581,209,192,328,414,769,784,-1,-1,903,269,14770,14542,334,334,1228,593,291,-1,3047,1971
まるで,171,4880,9825,833,-1,1349,4546,1173,704,710,206,738,345,710,1122,220,710,656,1081,355,751,809,18949,23450,325,736,14515,8352,316,733,848,356,266,10618,1894,2567
ありがとう,173,186,13721,113,-1,1487,742,128,113,114,-1,121,1118,263,133,674,263,245,124,250,123,136,188,2979,1415,218,20158,15363,-1,117,101,573,-1,7875,285,141
さっき,174,271,-1,302,4972,3499,4120,429,459,440,-1,457,523,256,271,341,256,238,258,235,891,912,18840,-1,553,336,18686,22614,434,481,1842,466,157,-1,360,371
もちろん,175,407,5864,463,486,510,973,460,307,306,222,320,423,666,591,236,666,617,567,391,278,310,212,2148,374,445,23437,19320,249,323,1368,387,270,6205,339,325
かも,176,3492,17818,141,3823,16823,14361,374,119,17844,14867,6148,149,10751,16732,8515,20274,19000,21252,105,12817,13029,-1,-1,807,370,1279,1408,6792,124,-1,19038,6562,3386,187,47764
こそ,177,497,2251,254,-1,658,523,510,374,251,201,263,356,243,326,211,243,225,310,240,398,422,-1,-1,479,332,657,564,18697,397,447,272,19311,2656,590,459
ごめん,185,215,-1,223,1727,4205,7439,178,251,181,-1,190,2089,288,126,709,288,267,119,272,241,254,17334,-1,1978,299,14218,21715,580,263,1113,632,127,18350,2277,1289
とても,187,1111,4710,853,-1,664,538,981,476,460,268,478,477,937,735,288,937,870,707,457,283,318,-1,-1,484,756,5067,4367,333,498,752,436,251,4943,941,337
おい,188,938,94,133,3565,3635,8137,15851,167,161,10789,169,940,100,155,4406,100,91,146,581,176,200,6536,13935,6042,204,1250,3238,12432,175,1042,708,23465,13257,1184,532
ゆっくり,189,717,9003,864,-1,1455,1094,846,781,781,294,812,531,1131,1012,338,1131,1049,974,307,939,977,70,-1,526,950,5130,4875,444,815,697,465,214,10631,1162,1084
あんな,190,681,19533,335,-1,3838,3455,419,507,591,332,617,760,378,490,386,378,349,469,616,712,730,-1,19162,737,342,8436,12275,1014,531,1359,657,515,17269,1309,1664
ほら,191,113,5087,198,4284,4854,9493,189,266,267,2910,279,1282,332,173,816,332,307,164,259,371,402,22601,-1,1291,303,8454,8115,15696,277,1603,955,16246,3773,1778,628
ご,193,142,2099,160,141,78,98,3377,185,139,29,28,211,31,25,87,240,222,199,251,190,209,1602,7623,410,289,62,118,133,193,253,221,362,804,239,121
なるほど,198,162,-1,458,1869,3551,6670,568,548,529,399,550,777,452,530,482,452,417,508,430,1277,1318,764,13708,679,481,23389,-1,367,573,899,822,361,20439,1151,431
やはり,206,81,4158,631,-1,511,1649,1039,1260,1212,176,377,456,275,177,168,458,423,908,572,3205,3317,-1,9201,443,727,12724,11240,140,1330,2553,443,96,4933,1222,446
あまり,207,166,1240,1376,-1,604,861,-1,1237,1299,168,1339,412,1399,710,153,1399,1296,982,497,646,700,3381,-1,-1,896,1874,1594,230,1307,525,298,202,1580,353,390
あいつ,210,601,22535,184,3545,4391,13234,270,256,256,357,268,703,127,211,512,127,118,201,405,340,376,-1,-1,853,324,9024,10410,493,264,882,745,286,14282,1593,1382
やつ,211,111,19872,176,397,1088,1388,232,343,376,711,213,417,117,280,310,117,108,267,381,482,484,1063,-1,238,369,2040,2947,136,366,1829,666,142,9916,245,213
もし,212,4252,3129,483,-1,518,1014,412,497,263,165,275,362,18580,9304,148,250,232,187,557,183,214,1325,1415,316,486,4231,4380,178,518,249,240,15765,5618,612,236
いただく,214,214,-1,358,-1,467,62,147,663,613,274,639,748,654,512,566,654,607,490,774,-1,-1,192,-1,439,497,5276,5225,238,696,551,671,327,14188,201,84
ほう,215,374,2171,204,16,8061,1293,153,174,202,5848,2073,160,2012,2356,183,172,159,156,398,558,542,40,8748,93,359,95,248,24184,184,5510,217,61,2383,583,277
おかしい,216,442,20792,532,-1,1783,4000,921,665,669,437,695,841,601,571,511,601,557,548,477,-1,-1,240,-1,1531,507,8853,6871,506,695,1199,731,306,12050,736,730
もん,217,3704,7141,145,395,4175,3711,176,247,339,5770,2338,344,1098,5932,650,176,163,242,221,497,487,6093,8458,365,249,285,967,1053,262,1311,446,1160,4802,413,280
わたし,220,73,7588,313,26,84,2799,18,1022,1011,40,861,111,421,282,680,1486,1376,2276,152,1184,1210,1,6966,9,3689,3696,4911,20,1074,2180,150,14,5463,3882,1001
つつ,221,1319,1030,3182,3758,1193,788,4736,3470,2820,309,2905,605,2438,2506,362,2438,2266,2421,549,3553,3777,5845,-1,776,2218,847,885,6895,3652,1366,425,15495,1445,1514,1062
ほしい,223,297,5001,347,-1,814,286,226,288,294,292,307,967,525,420,759,525,482,400,539,-1,-1,73,-1,565,418,1050,1449,210,303,755,716,134,4413,906,498
かなり,226,770,1808,1067,6027,623,1013,1262,820,959,314,992,572,1395,1563,367,1395,1292,1509,649,591,662,-1,-1,783,1056,6488,5905,340,862,852,556,592,1499,434,388
かかる,228,266,2982,432,-1,347,306,1791,421,428,166,445,252,434,666,150,434,401,639,518,-1,-1,1953,-1,1377,589,323,321,233,444,1736,358,315,1648,534,353
まったく,237,519,4923,531,-1,477,416,598,557,542,185,563,380,437,437,363,437,404,417,439,958,1021,546,-1,243,646,6349,3552,229,583,2347,434,211,5607,2318,2146
つける,238,245,4063,273,-1,310,969,451,230,224,128,234,190,273,314,100,273,253,299,303,-1,-1,553,-1,270,579,101,102,152,239,250,264,175,994,378,245
なぜ,239,874,3961,269,644,458,1478,348,97,93,181,100,337,221,343,165,221,204,326,424,115,132,2698,5308,464,388,7336,8539,203,100,893,340,193,3249,278,381
そろそろ,240,1111,-1,586,-1,3714,2474,750,933,928,771,961,1616,574,477,1197,574,531,456,555,1551,1578,173,-1,1712,467,18237,14577,681,989,1131,1204,377,-1,1797,1584
しっかり,241,806,8460,459,-1,1387,470,1053,627,614,551,640,1072,522,704,767,522,480,677,556,894,954,193,-1,1564,628,2913,2116,549,656,1513,812,393,7577,358,228
しかも,244,421,4947,716,-1,741,2671,831,949,944,277,977,480,724,771,314,724,670,742,721,1741,1822,-1,1313,463,794,8443,7564,5710,1008,1865,503,4542,5630,663,570
すぐ,246,286,1223,243,-1,394,366,499,178,153,124,161,178,233,250,102,233,216,237,225,145,163,8740,-1,378,464,1360,1131,128,189,404,179,128,1591,488,354
とにかく,248,732,15816,466,-1,1464,3043,583,561,544,336,567,599,474,614,388,474,438,588,573,731,804,1084,24157,605,529,24189,17917,1076,589,2307,751,461,16757,718,831
くん,249,-1,4245,234,3910,19112,4703,1696,735,817,3993,13681,661,9832,12292,2166,733,679,142,147,2540,2330,3626,9128,5808,1126,1414,5170,15994,764,-1,364,3147,1895,649,604
せい,250,20704,2038,411,804,224,3088,2047,258,240,245,21378,556,7513,17594,207,423,392,401,416,353,383,909,9158,1391,443,271,366,191,270,1038,418,357,2980,1939,1413
しばらく,251,1285,2821,1030,-1,1153,1498,1137,1264,1207,229,1244,414,1201,1303,245,1201,1116,1257,674,1072,1218,685,-1,496,953,6773,5174,388,1336,913,488,441,3621,2358,1703
さらに,255,1607,200,1242,-1,536,356,1301,1301,1916,212,1970,402,1959,3315,355,1959,1819,3195,551,1396,1473,1090,34,329,1992,757,699,379,1375,1168,352,440,327,323,319
とりあえず,258,343,23871,1115,-1,2076,3126,959,1562,1502,782,1547,1845,969,566,1234,969,901,544,628,3156,2813,977,-1,1773,940,-1,22618,399,1665,978,1101,454,22575,548,450
そもそも,259,910,6383,1346,1509,3166,1721,1141,2468,2305,-1,2375,1762,1303,1076,1183,1303,1214,1038,709,4600,4232,1349,3038,1788,1047,23371,14731,504,2605,3020,946,567,8348,811,903
すむ,260,500,2712,488,-1,983,637,871,591,208,366,701,931,1580,1304,464,228,211,174,788,-1,-1,1983,-1,666,434,589,621,958,621,308,578,1220,10635,4538,662
いきなり,266,1003,10947,834,-1,2692,5394,1194,1708,1649,523,1695,987,809,644,699,809,747,617,529,4079,3876,411,20741,1214,846,18655,15453,831,1797,1211,815,374,9626,1118,1355
さえ,268,1433,3385,790,1807,850,1188,1269,973,823,196,854,318,526,1054,198,526,483,1016,467,587,650,-1,-1,402,860,4600,4866,19440,1022,1158,405,16569,3710,2471,1643
すら,270,1753,3862,2060,-1,2650,1922,2658,2212,1823,544,1876,1054,923,1825,762,923,857,1764,598,1662,1873,-1,-1,1328,1421,4998,4492,15846,2327,1297,623,14471,3676,1691,2086
ようやく,271,16266,3928,1631,10553,15203,4818,1805,2503,2349,420,19883,787,1381,20914,515,1381,1281,2142,691,3899,3982,1993,24238,7677,1493,15709,11786,11288,2629,1855,645,13167,5655,3147,2529
ほとんど,273,516,494,1461,-1,712,1158,1623,1611,1548,-1,1594,410,1394,1344,249,1394,1291,1297,847,876,920,1051,-1,382,1243,2187,1839,405,1695,2585,478,594,728,461,543
つく,276,656,4383,247,23920,157,74,1788,229,341,115,363,139,478,574,155,382,353,397,199,3054,3178,1866,-1,1066,668,160,139,166,237,145,114,261,1005,199,80
あら,278,323,10119,364,504,6289,9826,548,563,553,15316,576,1403,718,509,501,718,664,487,843,698,773,2901,-1,1048,559,1046,1632,6788,593,1322,1745,24436,8784,5754,3744
よし,279,490,4768,272,1236,6369,6557,245,298,307,8683,321,1404,362,430,508,362,334,410,669,220,242,10709,14598,1099,327,2597,1989,9643,316,572,1016,8970,4458,1604,348
まず,281,321,1741,709,-1,391,810,509,596,338,240,18844,490,7296,20303,256,391,362,438,907,461,496,-1,399,475,780,4361,3668,21234,627,671,431,16582,2898,185,131
すべて,282,1052,565,388,-1,489,218,305,308,310,-1,324,307,320,994,251,320,295,1105,743,236,250,324,7218,224,1224,643,492,164,326,2780,342,199,809,673,579
